full_text,text_clean,token,stop,stemmed,polarity_score,polarity
"Tenang Pak Prabowo  sudah ada saya disini""  Itulah fungsi cheerleader 🙄 https://t.co/ipBJ0FpSj9""",tenang pak prabowo sudah ada saya disini itulah fungsi cheerleader,"['tenang', 'pak', 'prabowo', 'sudah', 'ada', 'saya', 'disini', 'itulah', 'fungsi', 'cheerleader']","['tenang', 'pak', 'prabowo', 'disini', 'fungsi', 'cheerleader']","['tenang', 'pak', 'prabowo', 'sini', 'fungsi', 'cheerleader']",4,positive
Cerdasnya Kang Denny  ditambah ketawanya Akbar  plus pasrahnya Cing Abdel  membuat obrolan ini sangat-sangat lucu.  Ini sebuah kritikan yang caranya keren banget.  Prabowo sudah lihat belum  ya? https://t.co/Vzd8b7GAGZ,cerdasnya kang denny ditambah ketawanya akbar plus pasrahnya cing abdel membuat obrolan ini sangatsangat lucu ini sebuah kritikan yang caranya keren banget prabowo sudah lihat belum ya,"['cerdasnya', 'kang', 'denny', 'ditambah', 'ketawanya', 'akbar', 'plus', 'pasrahnya', 'cing', 'abdel', 'membuat', 'obrolan', 'ini', 'sangatsangat', 'lucu', 'ini', 'sebuah', 'kritikan', 'yang', 'caranya', 'keren', 'banget', 'prabowo', 'sudah', 'lihat', 'belum', 'ya']","['cerdasnya', 'kang', 'denny', 'ditambah', 'ketawanya', 'akbar', 'plus', 'pasrahnya', 'cing', 'abdel', 'membuat', 'obrolan', 'sangatsangat', 'lucu', 'sebuah', 'kritikan', 'caranya', 'keren', 'banget', 'prabowo', 'lihat']","['cerdas', 'kang', 'denny', 'tambah', 'ketawa', 'akbar', 'plus', 'pasrah', 'cing', 'abdel', 'buat', 'obrol', 'sangatsangat', 'lucu', 'buah', 'kritik', 'cara', 'keren', 'banget', 'prabowo', 'lihat']",9,positive
Prabowo kartu mati ❌ https://t.co/ogM3R0nfPs,prabowo kartu mati,"['prabowo', 'kartu', 'mati']","['prabowo', 'kartu', 'mati']","['prabowo', 'kartu', 'mati']",-1,negative
Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/NAhETqVWqV,keputusan positif mantan pemimpin desa prabowogibran sebagai pemimpin perubahan positif,"['keputusan', 'positif', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'sebagai', 'pemimpin', 'perubahan', 'positif']","['keputusan', 'positif', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'pemimpin', 'perubahan', 'positif']","['putus', 'positif', 'mantan', 'pimpin', 'desa', 'prabowogibran', 'pimpin', 'ubah', 'positif']",3,positive
Prabowo hampir bisa dipastikan sulit dikalahkan. Bahkan target Paslon 02 sudah di level menang 1 putaran.  Makanya sangat wajar ketika 01 dan 03 lebih memilih untuk menyerang 02.  01 dan 03 sulit Juara 1 di Putaran 1. Namun keduanya mungkin bisa menang jika bisa masuk Putaran 2.…,prabowo hampir bisa dipastikan sulit dikalahkan bahkan target paslon sudah di level menang putaran makanya sangat wajar ketika dan lebih memilih untuk menyerang dan sulit juara di putaran namun keduanya mungkin bisa menang jika bisa masuk putaran,"['prabowo', 'hampir', 'bisa', 'dipastikan', 'sulit', 'dikalahkan', 'bahkan', 'target', 'paslon', 'sudah', 'di', 'level', 'menang', 'putaran', 'makanya', 'sangat', 'wajar', 'ketika', 'dan', 'lebih', 'memilih', 'untuk', 'menyerang', 'dan', 'sulit', 'juara', 'di', 'putaran', 'namun', 'keduanya', 'mungkin', 'bisa', 'menang', 'jika', 'bisa', 'masuk', 'putaran']","['prabowo', 'hampir', 'dipastikan', 'sulit', 'dikalahkan', 'bahkan', 'target', 'paslon', 'level', 'menang', 'putaran', 'makanya', 'sangat', 'wajar', 'lebih', 'memilih', 'menyerang', 'sulit', 'juara', 'putaran', 'keduanya', 'mungkin', 'menang', 'masuk', 'putaran']","['prabowo', 'hampir', 'pasti', 'sulit', 'kalah', 'bahkan', 'target', 'paslon', 'level', 'menang', 'putar', 'makanya', 'sangat', 'wajar', 'lebih', 'pilih', 'serang', 'sulit', 'juara', 'putar', 'dua', 'mungkin', 'menang', 'masuk', 'putar']",-18,negative
"Pak Prabowo nembak Pak Anies  di bales rudal sama Pak Anies 🤣  Kekuasaan itu bukan sekedar bisnis""  #AMINTerbaikNomor1 #aminungguldebatcapres""",pak prabowo nembak pak anies di bales rudal sama pak anies kekuasaan itu bukan sekedar bisnis,"['pak', 'prabowo', 'nembak', 'pak', 'anies', 'di', 'bales', 'rudal', 'sama', 'pak', 'anies', 'kekuasaan', 'itu', 'bukan', 'sekedar', 'bisnis']","['pak', 'prabowo', 'nembak', 'pak', 'anies', 'bales', 'rudal', 'sama', 'pak', 'anies', 'kekuasaan', 'bukan', 'sekedar', 'bisnis']","['pak', 'prabowo', 'nembak', 'pak', 'anies', 'bales', 'rudal', 'sama', 'pak', 'anies', 'kuasa', 'bukan', 'dar', 'bisnis']",3,positive
Saat anak dan menantu Jokowi dulu jadi walikota  nggak pernah dengar orang PDIP bahas dinasti.  Saat Gibran belum memutuskan jadi cawapres Prabowo  nggak pernah dengar orang PDIP bahas dinasti.  Malah PDIP sempat membuka peluang Gibran jadi cawapres Ganjar.  Waktu Prabowo…,saat anak dan menantu jokowi dulu jadi walikota nggak pernah dengar orang pdip bahas dinasti saat gibran belum memutuskan jadi cawapres prabowo nggak pernah dengar orang pdip bahas dinasti malah pdip sempat membuka peluang gibran jadi cawapres ganjar waktu prabowo,"['saat', 'anak', 'dan', 'menantu', 'jokowi', 'dulu', 'jadi', 'walikota', 'nggak', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'saat', 'gibran', 'belum', 'memutuskan', 'jadi', 'cawapres', 'prabowo', 'nggak', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'malah', 'pdip', 'sempat', 'membuka', 'peluang', 'gibran', 'jadi', 'cawapres', 'ganjar', 'waktu', 'prabowo']","['anak', 'menantu', 'jokowi', 'dulu', 'jadi', 'walikota', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'gibran', 'memutuskan', 'jadi', 'cawapres', 'prabowo', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'malah', 'pdip', 'sempat', 'membuka', 'peluang', 'gibran', 'jadi', 'cawapres', 'ganjar', 'waktu', 'prabowo']","['anak', 'menantu', 'jokowi', 'dulu', 'jadi', 'walikota', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'gibran', 'putus', 'jadi', 'cawapres', 'prabowo', 'pernah', 'dengar', 'orang', 'pdip', 'bahas', 'dinasti', 'malah', 'pdip', 'sempat', 'buka', 'peluang', 'gibran', 'jadi', 'cawapres', 'ganjar', 'waktu', 'prabowo']",-4,negative
Aslinya yg kacang lupa sama kulitnya itu ya Pak Prabowo  th 2019 pendukungnya totalitas support  bahkan tiap kampanye ada saweran yg dikumpulin untuk biaya kampanye   ada korban jiwa belain dia di demontrasi MK  eh yg didukung malah  nyemplung   jd siapa yg kacang lupa kulitnya ?,aslinya yg kacang lupa sama kulitnya itu ya pak prabowo th pendukungnya totalitas support bahkan tiap kampanye ada saweran yg dikumpulin untuk biaya kampanye ada korban jiwa belain dia di demontrasi mk eh yg didukung malah nyemplung jd siapa yg kacang lupa kulitnya,"['aslinya', 'yg', 'kacang', 'lupa', 'sama', 'kulitnya', 'itu', 'ya', 'pak', 'prabowo', 'th', 'pendukungnya', 'totalitas', 'support', 'bahkan', 'tiap', 'kampanye', 'ada', 'saweran', 'yg', 'dikumpulin', 'untuk', 'biaya', 'kampanye', 'ada', 'korban', 'jiwa', 'belain', 'dia', 'di', 'demontrasi', 'mk', 'eh', 'yg', 'didukung', 'malah', 'nyemplung', 'jd', 'siapa', 'yg', 'kacang', 'lupa', 'kulitnya']","['aslinya', 'yg', 'kacang', 'lupa', 'sama', 'kulitnya', 'pak', 'prabowo', 'th', 'pendukungnya', 'totalitas', 'support', 'bahkan', 'tiap', 'kampanye', 'saweran', 'yg', 'dikumpulin', 'biaya', 'kampanye', 'korban', 'jiwa', 'belain', 'demontrasi', 'mk', 'eh', 'yg', 'didukung', 'malah', 'nyemplung', 'jd', 'siapa', 'yg', 'kacang', 'lupa', 'kulitnya']","['asli', 'yg', 'kacang', 'lupa', 'sama', 'kulit', 'pak', 'prabowo', 'th', 'dukung', 'totalitas', 'support', 'bahkan', 'tiap', 'kampanye', 'sawer', 'yg', 'dikumpulin', 'biaya', 'kampanye', 'korban', 'jiwa', 'bain', 'demontrasi', 'mk', 'eh', 'yg', 'dukung', 'malah', 'nyemplung', 'jd', 'siapa', 'yg', 'kacang', 'lupa', 'kulit']",15,positive
*Makan minum dan duit ikut prabowo tapi hati dan nyolosnya tetap pak Anies Baswedan* 🥱🥱🥱🤪😁🇮🇩☕🍵🇮🇩 ...... https://t.co/zIjzdNxYCn,makan minum dan duit ikut prabowo tapi hati dan nyolosnya tetap pak anies baswedan,"['makan', 'minum', 'dan', 'duit', 'ikut', 'prabowo', 'tapi', 'hati', 'dan', 'nyolosnya', 'tetap', 'pak', 'anies', 'baswedan']","['makan', 'minum', 'duit', 'ikut', 'prabowo', 'hati', 'nyolosnya', 'tetap', 'pak', 'anies', 'baswedan']","['makan', 'minum', 'duit', 'ikut', 'prabowo', 'hati', 'nyolosnya', 'tetap', 'pak', 'anies', 'baswedan']",-3,negative
penjualan merchandise tersebut sebagai bukti bahwa Ganjar Mahfud tanpa bantuan dari oligarki  .  tag || Irish Bella Prabowo Impeachment Ordal Ammar Zoni Triple J Cadaver Santai Ginting CEO HMNS Oposisi Spirited Away sehun || https://t.co/bFMilS4fuP,penjualan merchandise tersebut sebagai bukti bahwa ganjar mahfud tanpa bantuan dari oligarki tag irish bella prabowo impeachment ordal ammar zoni triple cadaver santai ginting ceo hmns oposisi spirited away sehun,"['penjualan', 'merchandise', 'tersebut', 'sebagai', 'bukti', 'bahwa', 'ganjar', 'mahfud', 'tanpa', 'bantuan', 'dari', 'oligarki', 'tag', 'irish', 'bella', 'prabowo', 'impeachment', 'ordal', 'ammar', 'zoni', 'triple', 'cadaver', 'santai', 'ginting', 'ceo', 'hmns', 'oposisi', 'spirited', 'away', 'sehun']","['penjualan', 'merchandise', 'tersebut', 'bukti', 'ganjar', 'mahfud', 'bantuan', 'oligarki', 'tag', 'irish', 'bella', 'prabowo', 'impeachment', 'ordal', 'ammar', 'zoni', 'triple', 'cadaver', 'santai', 'ginting', 'ceo', 'hmns', 'oposisi', 'spirited', 'away', 'sehun']","['jual', 'merchandise', 'sebut', 'bukti', 'ganjar', 'mahfud', 'bantu', 'oligarki', 'tag', 'irish', 'bella', 'prabowo', 'impeachment', 'ordal', 'ammar', 'zoni', 'triple', 'cadaver', 'santai', 'ginting', 'ceo', 'hmns', 'oposisi', 'spirited', 'away', 'hun']",-2,negative
