,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,loc1,loc2,loc3
2,Tue Dec 12 04:12:15 +0000 2023,1734425910697484331,@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF,0,1,0,4,in,1135949597380042752,1734420607532707894,momenteeee,https://twitter.com/momenteeee/status/1734425910697484331,https://pbs.twimg.com/ext_tw_video_thumb/1734425889776279552/pu/img/7FaTmxkJI6GAeKmg.jpg,"malang, jawa timur",malang,jawa timur,
3,Wed Dec 06 05:39:54 +0000 2023,1732273639318532104,Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN,0,0,0,0,in,1715275061719150592,1732273639318532104,uciananda276395,https://twitter.com/uciananda276395/status/1732273639318532104,https://pbs.twimg.com/ext_tw_video_thumb/1732273585144971264/pu/img/4xnWjx-8IrqYK6Dc.jpg,nganjuk,nganjuk,,
6,Wed Dec 06 05:32:08 +0000 2023,1732271687436317173,Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL,0,0,0,0,in,1686642771279683584,1732271687436317173,gunawansam98108,https://twitter.com/gunawansam98108/status/1732271687436317173,https://pbs.twimg.com/ext_tw_video_thumb/1732271632776069120/pu/img/ObNG5OPBcGf6ZNdy.jpg,"jember, jawa timur",jember,jawa timur,
7,Wed Dec 06 12:10:50 +0000 2023,1732372021957513563,Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL,0,0,0,0,in,1568775892784259073,1732372021957513563,YuliaEster4,https://twitter.com/YuliaEster4/status/1732372021957513563,https://pbs.twimg.com/ext_tw_video_thumb/1732371942836158464/pu/img/zft9UJIicpqnApV6.jpg,"malang, jawa timur",malang,jawa timur,
9,Wed Dec 06 05:44:47 +0000 2023,1732274868182561244,Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et,0,0,0,0,in,1715356680740077569,1732274868182561244,tumizan341,https://twitter.com/tumizan341/status/1732274868182561244,https://pbs.twimg.com/ext_tw_video_thumb/1732274813379706880/pu/img/NNs5J4DD62Irqkuy.jpg,"lumajang, indonesia",lumajang,indonesia,
10,Wed Dec 06 05:34:38 +0000 2023,1732272314799280336,Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj,0,0,0,0,in,1715248674199257088,1732272314799280336,adindaanug70949,https://twitter.com/adindaanug70949/status/1732272314799280336,https://pbs.twimg.com/ext_tw_video_thumb/1732272260604690432/pu/img/FhI7oJn98uoFEbJh.jpg,"pacitan, indonesia",pacitan,indonesia,
11,Wed Dec 06 06:01:34 +0000 2023,1732279094103187680,Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9,0,0,0,0,in,1698587595880755200,1732279094103187680,ArnoldDedi36248,https://twitter.com/ArnoldDedi36248/status/1732279094103187680,https://pbs.twimg.com/ext_tw_video_thumb/1732279024431566848/pu/img/YMH9q-lCtn4RF3m3.jpg,ponorogo,ponorogo,,
12,Wed Dec 06 05:42:26 +0000 2023,1732274279293886897,Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL,0,0,0,0,in,1716270615592886272,1732274279293886897,azkadinaaliesha,https://twitter.com/azkadinaaliesha/status/1732274279293886897,https://pbs.twimg.com/ext_tw_video_thumb/1732274222305820672/pu/img/lOMzGd3tyFFrFA6D.jpg,nganjuk,nganjuk,,
13,Wed Dec 06 05:47:33 +0000 2023,1732275567016485368,Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ,0,0,0,0,in,1699000360961212416,1732275567016485368,mahendramardhi1,https://twitter.com/mahendramardhi1/status/1732275567016485368,https://pbs.twimg.com/ext_tw_video_thumb/1732275515602718720/pu/img/Ldo_9E92LbRW_M78.jpg,bangil,bangil,,
14,Wed Dec 06 05:51:49 +0000 2023,1732276637616730243,Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8,0,0,0,0,in,1715548357517787136,1732276637616730243,abigail1829820,https://twitter.com/abigail1829820/status/1732276637616730243,https://pbs.twimg.com/ext_tw_video_thumb/1732276580540649474/pu/img/_bBiw40HuAz0lfL6.jpg,"magetan, indonesia",magetan,indonesia,
15,Wed Dec 06 06:01:15 +0000 2023,1732279013689922028,Mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama Prabowo-Gibran. https://t.co/oVbZwgzzNc,0,0,0,0,in,1716366297595088896,1732279013689922028,kevia_lynne,https://twitter.com/kevia_lynne/status/1732279013689922028,https://pbs.twimg.com/ext_tw_video_thumb/1732278957125652480/pu/img/0080KLROeVR_Yioz.jpg,jombang,jombang,,
16,Wed Dec 06 05:44:59 +0000 2023,1732274917763432475,Mantan Kepala Desa bersama Prabowo-Gibran  karena kita percaya pada perubahan yang lebih baik https://t.co/hHyvUWqb5X,0,0,0,0,in,1701450297531625472,1732274917763432475,dudi_budi94570,https://twitter.com/dudi_budi94570/status/1732274917763432475,https://pbs.twimg.com/ext_tw_video_thumb/1732274867024834560/pu/img/7bZzY4gHZFOwxdak.jpg,nganjuk,nganjuk,,
17,Wed Dec 06 05:34:46 +0000 2023,1732272348076916765,Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf,0,0,0,0,in,1715277228215570432,1732272348076916765,maharanialya22,https://twitter.com/maharanialya22/status/1732272348076916765,https://pbs.twimg.com/ext_tw_video_thumb/1732272293219610624/pu/img/YfWMamDKud5bCW6r.jpg,"jombang, indonesia",jombang,indonesia,
18,Wed Dec 06 05:52:26 +0000 2023,1732276795406491915,Dukungan penuh dari mantan pemimpin desa: Prabowo-Gibran adalah solusi untuk perubahan positif. https://t.co/tDmL2aHm0i,0,0,0,0,in,1702246871174152192,1732276795406491915,yusuf208733,https://twitter.com/yusuf208733/status/1732276795406491915,https://pbs.twimg.com/ext_tw_video_thumb/1732276738439417856/pu/img/oeFurjwFT0e-TykY.jpg,lumajang,lumajang,,
19,Wed Dec 06 05:32:31 +0000 2023,1732271783464841435,Semangat segar mantan kades di Kota/Kabupaten Cirebon buat atmosfer positif untuk Prabowo-Gibran https://t.co/zQJzKZgwee,0,0,0,0,in,1698998230732967936,1732271783464841435,lelana_ristia,https://twitter.com/lelana_ristia/status/1732271783464841435,https://pbs.twimg.com/ext_tw_video_thumb/1732271672571609088/pu/img/oewc7zX4aBzv8NI1.jpg,ponorogo,ponorogo,,
20,Wed Dec 06 05:34:42 +0000 2023,1732272331832352889,Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/0oUgi6JniP,0,0,0,0,in,1703619804526161920,1732272331832352889,fara1222398,https://twitter.com/fara1222398/status/1732272331832352889,https://pbs.twimg.com/ext_tw_video_thumb/1732272262622199808/pu/img/FuUgv-s8S0kB6j2r.jpg,pacitan,pacitan,,
21,Sat Nov 04 01:21:35 +0000 2023,1720612220889887154,"@jokowi Mentang² prabowo-gibran jadi capres-cawapres terus sering nyebut pagi"" #JokowiMalinKundang https://t.co/WR8oUg3q5c""",0,0,0,0,in,103812302,1720252630621118789,winanto_siswoWP,https://twitter.com/winanto_siswoWP/status/1720612220889887154,https://pbs.twimg.com/ext_tw_video_thumb/1720612180377161728/pu/img/QxlPBDNUAv8wKVm9.jpg,"malang, east java, indonesia",malang,east java,indonesia
22,Wed Dec 06 05:38:11 +0000 2023,1732273209662419149,Prabowo-Gibran  memastikan setiap kebijakan tetap berpihak pada nilai-nilai kemanusiaan.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/aUM5os1D3v,0,0,0,0,in,1638087765035487234,1732273209662419149,kristantid930,https://twitter.com/kristantid930/status/1732273209662419149,https://pbs.twimg.com/ext_tw_video_thumb/1732273151290355712/pu/img/Ky3rr97s5xPzFa4B.jpg,"magetan, indonesia",magetan,indonesia,
24,Sun Dec 10 14:40:54 +0000 2023,1733859338425622815,Optimalisasi Program Jokowi  Prabowo-Gibran Berkomitmen untuk Melanjutkan  https://t.co/CkSyq62xCQ,0,0,0,1,in,1668262273561817092,1733859338425622815,aboutmalang_com,https://twitter.com/aboutmalang_com/status/1733859338425622815,,malang,malang,,
