full_text,text_clean,token,stop,stemmed
"Presiden ke-6 Republik Indonesia, Susilo Bambang Yudhoyono (SBY), menggambarkan calon presiden nomor urut dua, Prabowo Subianto, sebagai sosok patriot yang memiliki cinta mendalam pada negara dan bangsa",presiden ke republik indonesia susilo bambang yudhoyono sby menggambarkan calon presiden nomor urut dua prabowo subianto sebagai sosok patriot yang memiliki cinta mendalam pada negara dan bangsa,"['presiden', 'ke', 'republik', 'indonesia', 'susilo', 'bambang', 'yudhoyono', 'sby', 'menggambarkan', 'calon', 'presiden', 'nomor', 'urut', 'dua', 'prabowo', 'subianto', 'sebagai', 'sosok', 'patriot', 'yang', 'memiliki', 'cinta', 'mendalam', 'pada', 'negara', 'dan', 'bangsa']","['presiden', 'republik', 'indonesia', 'susilo', 'bambang', 'yudhoyono', 'sby', 'menggambarkan', 'calon', 'presiden', 'nomor', 'urut', 'prabowo', 'subianto', 'sosok', 'patriot', 'memiliki', 'cinta', 'mendalam', 'negara', 'bangsa']","['presiden', 'republik', 'indonesia', 'susilo', 'bambang', 'yudhoyono', 'sby', 'gambar', 'calon', 'presiden', 'nomor', 'urut', 'prabowo', 'subianto', 'sosok', 'patriot', 'milik', 'cinta', 'dalam', 'negara', 'bangsa']"
"Hal tersebut diungkapkan SBY dalam sambutannya saat menghadiri acara silaturahmi dan doa bersama ulama serta tokoh masyarakat Aceh yang digelar di Hermes Palace Hotel, Banda Aceh, Selasa (26/12).",hal tersebut diungkapkan sby dalam sambutannya saat menghadiri acara silaturahmi dan doa bersama ulama serta tokoh masyarakat aceh yang digelar di hermes palace hotel banda aceh selasa,"['hal', 'tersebut', 'diungkapkan', 'sby', 'dalam', 'sambutannya', 'saat', 'menghadiri', 'acara', 'silaturahmi', 'dan', 'doa', 'bersama', 'ulama', 'serta', 'tokoh', 'masyarakat', 'aceh', 'yang', 'digelar', 'di', 'hermes', 'palace', 'hotel', 'banda', 'aceh', 'selasa']","['tersebut', 'diungkapkan', 'sby', 'sambutannya', 'menghadiri', 'acara', 'silaturahmi', 'doa', 'bersama', 'ulama', 'tokoh', 'masyarakat', 'aceh', 'digelar', 'hermes', 'palace', 'hotel', 'banda', 'aceh', 'selasa']","['sebut', 'ungkap', 'sby', 'sambut', 'hadir', 'acara', 'silaturahmi', 'doa', 'sama', 'ulama', 'tokoh', 'masyarakat', 'aceh', 'gelar', 'hermes', 'palace', 'hotel', 'banda', 'aceh', 'selasa']"
"""Beliau adalah sahabat saya, beliau juga patriot yang mencintai bangsa dan negara ini,"" ujarnya dalam keterangan tertulis, Selasa (26/12).",beliau adalah sahabat saya beliau juga patriot yang mencintai bangsa dan negara ini ujarnya dalam keterangan tertulis selasa,"['beliau', 'adalah', 'sahabat', 'saya', 'beliau', 'juga', 'patriot', 'yang', 'mencintai', 'bangsa', 'dan', 'negara', 'ini', 'ujarnya', 'dalam', 'keterangan', 'tertulis', 'selasa']","['beliau', 'sahabat', 'beliau', 'patriot', 'mencintai', 'bangsa', 'negara', 'ujarnya', 'keterangan', 'tertulis', 'selasa']","['beliau', 'sahabat', 'beliau', 'patriot', 'cinta', 'bangsa', 'negara', 'ujar', 'terang', 'tulis', 'selasa']"
"Sebagai mantan presiden yang telah memimpin Indonesia selama dua periode (2004-2014), pernyataan SBY tersebut mencerminkan hubungan yang erat antara kedua tokoh politik tersebut, yang tidak hanya bersifat politis tetapi juga menggambarkan rasa persahabatan mereka.",sebagai mantan presiden yang telah memimpin indonesia selama dua periode pernyataan sby tersebut mencerminkan hubungan yang erat antara kedua tokoh politik tersebut yang tidak hanya bersifat politis tetapi juga menggambarkan rasa persahabatan mereka,"['sebagai', 'mantan', 'presiden', 'yang', 'telah', 'memimpin', 'indonesia', 'selama', 'dua', 'periode', 'pernyataan', 'sby', 'tersebut', 'mencerminkan', 'hubungan', 'yang', 'erat', 'antara', 'kedua', 'tokoh', 'politik', 'tersebut', 'yang', 'tidak', 'hanya', 'bersifat', 'politis', 'tetapi', 'juga', 'menggambarkan', 'rasa', 'persahabatan', 'mereka']","['mantan', 'presiden', 'memimpin', 'indonesia', 'selama', 'periode', 'pernyataan', 'sby', 'tersebut', 'mencerminkan', 'hubungan', 'erat', 'kedua', 'tokoh', 'politik', 'tersebut', 'bersifat', 'politis', 'menggambarkan', 'rasa', 'persahabatan']","['mantan', 'presiden', 'pimpin', 'indonesia', 'lama', 'periode', 'nyata', 'sby', 'sebut', 'cermin', 'hubung', 'erat', 'dua', 'tokoh', 'politik', 'sebut', 'sifat', 'politis', 'gambar', 'rasa', 'sahabat']"
"Pada kesempatan yang sama, Prabowo juga mengapresiasi peran SBY serta sejumlah tokoh nasional, ulama, dan intelektual Aceh yang terus mendorong terciptanya perdamaian di bumi Serambi Makkah ini.",pada kesempatan yang sama prabowo juga mengapresiasi peran sby serta sejumlah tokoh nasional ulama dan intelektual aceh yang terus mendorong terciptanya perdamaian di bumi serambi makkah ini,"['pada', 'kesempatan', 'yang', 'sama', 'prabowo', 'juga', 'mengapresiasi', 'peran', 'sby', 'serta', 'sejumlah', 'tokoh', 'nasional', 'ulama', 'dan', 'intelektual', 'aceh', 'yang', 'terus', 'mendorong', 'terciptanya', 'perdamaian', 'di', 'bumi', 'serambi', 'makkah', 'ini']","['kesempatan', 'sama', 'prabowo', 'mengapresiasi', 'peran', 'sby', 'sejumlah', 'tokoh', 'nasional', 'ulama', 'intelektual', 'aceh', 'terus', 'mendorong', 'terciptanya', 'perdamaian', 'bumi', 'serambi', 'makkah']","['sempat', 'sama', 'prabowo', 'apresiasi', 'peran', 'sby', 'jumlah', 'tokoh', 'nasional', 'ulama', 'intelektual', 'aceh', 'terus', 'dorong', 'cipta', 'damai', 'bumi', 'serambi', 'makkah']"
"Dengan kondisi Aceh saat ini, ia kembali mengingatkan akan pentingnya arti perdamaian yang menurutnya bukanlah hadiah, melainkan harus diraih dengan sejumlah usaha keras.",dengan kondisi aceh saat ini ia kembali mengingatkan akan pentingnya arti perdamaian yang menurutnya bukanlah hadiah melainkan harus diraih dengan sejumlah usaha keras,"['dengan', 'kondisi', 'aceh', 'saat', 'ini', 'ia', 'kembali', 'mengingatkan', 'akan', 'pentingnya', 'arti', 'perdamaian', 'yang', 'menurutnya', 'bukanlah', 'hadiah', 'melainkan', 'harus', 'diraih', 'dengan', 'sejumlah', 'usaha', 'keras']","['kondisi', 'aceh', 'mengingatkan', 'pentingnya', 'arti', 'perdamaian', 'menurutnya', 'bukanlah', 'hadiah', 'diraih', 'sejumlah', 'usaha', 'keras']","['kondisi', 'aceh', 'ingat', 'penting', 'arti', 'damai', 'turut', 'bukan', 'hadiah', 'raih', 'jumlah', 'usaha', 'keras']"
"""Perdamaian bukan suatu hadiah, bukan ibarat suatu buah yang jatuh dari pohon. Perdamaian adalah usaha yang sangat sulit, perdamaian adalah upaya yang memerlukan jiwa besar, kearifan, memerlukan upaya-upaya luar biasa,"" tegasnya.",perdamaian bukan suatu hadiah bukan ibarat suatu buah yang jatuh dari pohon perdamaian adalah usaha yang sangat sulit perdamaian adalah upaya yang memerlukan jiwa besar kearifan memerlukan upayaupaya luar biasa tegasnya,"['perdamaian', 'bukan', 'suatu', 'hadiah', 'bukan', 'ibarat', 'suatu', 'buah', 'yang', 'jatuh', 'dari', 'pohon', 'perdamaian', 'adalah', 'usaha', 'yang', 'sangat', 'sulit', 'perdamaian', 'adalah', 'upaya', 'yang', 'memerlukan', 'jiwa', 'besar', 'kearifan', 'memerlukan', 'upayaupaya', 'luar', 'biasa', 'tegasnya']","['perdamaian', 'bukan', 'suatu', 'hadiah', 'bukan', 'ibarat', 'suatu', 'buah', 'jatuh', 'pohon', 'perdamaian', 'usaha', 'sangat', 'sulit', 'perdamaian', 'upaya', 'memerlukan', 'jiwa', 'besar', 'kearifan', 'memerlukan', 'upayaupaya', 'luar', 'biasa', 'tegasnya']","['damai', 'bukan', 'suatu', 'hadiah', 'bukan', 'ibarat', 'suatu', 'buah', 'jatuh', 'pohon', 'damai', 'usaha', 'sangat', 'sulit', 'damai', 'upaya', 'perlu', 'jiwa', 'besar', 'arif', 'perlu', 'upayaupaya', 'luar', 'biasa', 'tegas']"
"Lebih lanjut, Prabowo menegaskan bahwa keberadaan Aceh dan rakyatnya menjadi kekuatan bagi bangsa Indonesia. Sejarah sudah membuktikan hal itu, salah satunya dengan tekad Aceh yang tidak mau dijajah oleh bangsa lain.",lebih lanjut prabowo menegaskan bahwa keberadaan aceh dan rakyatnya menjadi kekuatan bagi bangsa indonesia sejarah sudah membuktikan hal itu salah satunya dengan tekad aceh yang tidak mau dijajah oleh bangsa lain,"['lebih', 'lanjut', 'prabowo', 'menegaskan', 'bahwa', 'keberadaan', 'aceh', 'dan', 'rakyatnya', 'menjadi', 'kekuatan', 'bagi', 'bangsa', 'indonesia', 'sejarah', 'sudah', 'membuktikan', 'hal', 'itu', 'salah', 'satunya', 'dengan', 'tekad', 'aceh', 'yang', 'tidak', 'mau', 'dijajah', 'oleh', 'bangsa', 'lain']","['lebih', 'lanjut', 'prabowo', 'menegaskan', 'keberadaan', 'aceh', 'rakyatnya', 'menjadi', 'kekuatan', 'bangsa', 'indonesia', 'sejarah', 'membuktikan', 'salah', 'satunya', 'tekad', 'aceh', 'mau', 'dijajah', 'bangsa']","['lebih', 'lanjut', 'prabowo', 'tegas', 'ada', 'aceh', 'rakyat', 'jadi', 'kuat', 'bangsa', 'indonesia', 'sejarah', 'bukti', 'salah', 'satu', 'tekad', 'aceh', 'mau', 'jajah', 'bangsa']"
"Dia mengatakan bahwa Aceh merupakan kekuatan bagi keluarga besar Indonesia. Terlebih, provinsi paling barat di Indonesia ini memiliki sejarah gemilang yang penuh dengan kepahlawanan, dan tidak mau dijajah oleh bangsa lain.",dia mengatakan bahwa aceh merupakan kekuatan bagi keluarga besar indonesia terlebih provinsi paling barat di indonesia ini memiliki sejarah gemilang yang penuh dengan kepahlawanan dan tidak mau dijajah oleh bangsa lain,"['dia', 'mengatakan', 'bahwa', 'aceh', 'merupakan', 'kekuatan', 'bagi', 'keluarga', 'besar', 'indonesia', 'terlebih', 'provinsi', 'paling', 'barat', 'di', 'indonesia', 'ini', 'memiliki', 'sejarah', 'gemilang', 'yang', 'penuh', 'dengan', 'kepahlawanan', 'dan', 'tidak', 'mau', 'dijajah', 'oleh', 'bangsa', 'lain']","['mengatakan', 'aceh', 'merupakan', 'kekuatan', 'keluarga', 'besar', 'indonesia', 'terlebih', 'provinsi', 'paling', 'barat', 'indonesia', 'memiliki', 'sejarah', 'gemilang', 'penuh', 'kepahlawanan', 'mau', 'dijajah', 'bangsa']","['kata', 'aceh', 'rupa', 'kuat', 'keluarga', 'besar', 'indonesia', 'lebih', 'provinsi', 'paling', 'barat', 'indonesia', 'milik', 'sejarah', 'gemilang', 'penuh', 'pahlawan', 'mau', 'jajah', 'bangsa']"
"""Ini kekuatan untuk kita, rakyat Aceh. Rakyat Aceh pernah kumpulkan emas untuk membeli pesawat pertama milik RI,"" pungkas Prabowo.",ini kekuatan untuk kita rakyat aceh rakyat aceh pernah kumpulkan emas untuk membeli pesawat pertama milik ri pungkas prabowo,"['ini', 'kekuatan', 'untuk', 'kita', 'rakyat', 'aceh', 'rakyat', 'aceh', 'pernah', 'kumpulkan', 'emas', 'untuk', 'membeli', 'pesawat', 'pertama', 'milik', 'ri', 'pungkas', 'prabowo']","['kekuatan', 'rakyat', 'aceh', 'rakyat', 'aceh', 'pernah', 'kumpulkan', 'emas', 'membeli', 'pesawat', 'pertama', 'milik', 'ri', 'pungkas', 'prabowo']","['kuat', 'rakyat', 'aceh', 'rakyat', 'aceh', 'pernah', 'kumpul', 'emas', 'beli', 'pesawat', 'pertama', 'milik', 'ri', 'pungkas', 'prabowo']"
