created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,tweet_url,location
Tue Dec 12 04:12:15 +0000 2023,1734425910697484331,@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF,0,1,0,4,https://twitter.com/momenteeee/status/1734425910697484331,malang
Wed Dec 06 05:39:54 +0000 2023,1732273639318532104,Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN,0,0,0,0,https://twitter.com/uciananda276395/status/1732273639318532104,nganjuk
Wed Dec 06 05:32:08 +0000 2023,1732271687436317173,Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL,0,0,0,0,https://twitter.com/gunawansam98108/status/1732271687436317173,jember
Wed Dec 06 12:10:50 +0000 2023,1732372021957513563,Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL,0,0,0,0,https://twitter.com/YuliaEster4/status/1732372021957513563,malang
Wed Dec 06 05:44:47 +0000 2023,1732274868182561244,Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et,0,0,0,0,https://twitter.com/tumizan341/status/1732274868182561244,lumajang
Wed Dec 06 05:34:38 +0000 2023,1732272314799280336,Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj,0,0,0,0,https://twitter.com/adindaanug70949/status/1732272314799280336,pacitan
Wed Dec 06 06:01:34 +0000 2023,1732279094103187680,Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9,0,0,0,0,https://twitter.com/ArnoldDedi36248/status/1732279094103187680,ponorogo
Wed Dec 06 05:42:26 +0000 2023,1732274279293886897,Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL,0,0,0,0,https://twitter.com/azkadinaaliesha/status/1732274279293886897,nganjuk
Wed Dec 06 05:47:33 +0000 2023,1732275567016485368,Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ,0,0,0,0,https://twitter.com/mahendramardhi1/status/1732275567016485368,bangil
Wed Dec 06 05:51:49 +0000 2023,1732276637616730243,Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8,0,0,0,0,https://twitter.com/abigail1829820/status/1732276637616730243,magetan
