full_text,text_clean,Label
@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF,sumber tiktok tkn prabowo gibran,netral
Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN,solidaritas positif mantan kepala desa prabowogibran adalah langkah maju,positif
Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL,keputusan mantan kepala desa prabowogibran adalah jalan untuk perubahan yang kita inginkan,positif
Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL,ahmad dhani kampanye prabowo gibran,positif
Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et,pilihan optimis mantan kepala desa prabowogibran sebagai pemimpin perubahan positif,positif
Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj,prabowogibran diiringi oleh suara bulat ratusan mantan kades membangun perubahan nyata,positif
Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9,keputusan positif mantan pemimpin desa prabowogibran sebagai pemimpin perubahan positif,positif
Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL,suara bulat ratusan mantan kades menciptakan harmoni mendukung prabowogibran di pilpres,positif
Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ,bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama prabowogibran,positif
Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8,mantan kepala desa mendukung positif prabowogibran sebagai pemimpin untuk perubahan yang lebih baik,positif
Mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama Prabowo-Gibran. https://t.co/oVbZwgzzNc,mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama prabowogibran,positif
Mantan Kepala Desa bersama Prabowo-Gibran  karena kita percaya pada perubahan yang lebih baik https://t.co/hHyvUWqb5X,mantan kepala desa bersama prabowogibran karena kita percaya pada perubahan yang lebih baik,positif
Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf,ratusan mantan kades mengiringi prabowogibran menciptakan narasi positif untuk pilpres,positif
Dukungan penuh dari mantan pemimpin desa: Prabowo-Gibran adalah solusi untuk perubahan positif. https://t.co/tDmL2aHm0i,dukungan penuh dari mantan pemimpin desa prabowogibran adalah solusi untuk perubahan positif,positif
Semangat segar mantan kades di Kota/Kabupaten Cirebon buat atmosfer positif untuk Prabowo-Gibran https://t.co/zQJzKZgwee,semangat segar mantan kades di kotakabupaten cirebon buat atmosfer positif untuk prabowogibran,positif
Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/0oUgi6JniP,kesatuan mantan pemimpin desa untuk perubahan positif prabowogibran sebagai katalisator perubahan,positif
"@jokowi Mentang² prabowo-gibran jadi capres-cawapres terus sering nyebut pagi"" #JokowiMalinKundang https://t.co/WR8oUg3q5c""",mentang prabowogibran jadi caprescawapres terus sering nyebut pagi,negatif
Prabowo-Gibran  memastikan setiap kebijakan tetap berpihak pada nilai-nilai kemanusiaan.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/aUM5os1D3v,prabowogibran memastikan setiap kebijakan tetap berpihak pada nilainilai kemanusiaan purnakuwu dukungpragibs,positif
Optimalisasi Program Jokowi  Prabowo-Gibran Berkomitmen untuk Melanjutkan  https://t.co/CkSyq62xCQ,optimalisasi program jokowi prabowogibran berkomitmen untuk melanjutkan,positif
Prabowo-Gibran  garda terdepan dalam memperjuangkan hak asasi manusia di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/FNg3rm3ytL,prabowogibran garda terdepan dalam memperjuangkan hak asasi manusia di indonesia purnakuwu dukungpragibs,positif
Prabowo - Gibran seolah lupa  rakyat Jawa Tengah punya mata dan telinga untuk melihat dan mendengar kebenaran @adam_habibsuku  https://t.co/l2gikIJtbS,prabowo gibran seolah lupa rakyat jawa tengah punya mata dan telinga untuk melihat dan mendengar kebenaran,negatif
Prabowo - Gibran  jangan membuat pilpres seperti pertunjukan sulap  di mana segalanya bisa berubah tanpa alasan yang jelas @bayu_isWIND  https://t.co/L42uIHpHuP,prabowo gibran jangan membuat pilpres seperti pertunjukan sulap di mana segalanya bisa berubah tanpa alasan yang jelas,negatif
Hanya Anies-Cak Imin yang Kritik IKN  Ganjar-Mahfud dan Prabowo-Gibran Sepakat Melanjutkan - https://t.co/uvpCdL6Uy1,hanya aniescak imin yang kritik ikn ganjarmahfud dan prabowogibran sepakat melanjutkan,positif
Mantan Kades di Cirebon solid  pilih Prabowo-Gibran untuk kesejahteraan!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MGJEcqNexM,mantan kades di cirebon solid pilih prabowogibran untuk kesejahteraan purnakuwu dukungpragibs,positif
Kontribusi penting dalam membangun kemenangan Prabowo-Gibran di tingkat lokal.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/RKeS5ltXmn,kontribusi penting dalam membangun kemenangan prabowogibran di tingkat lokal purnakuwu dukungpragibs,positif
Prabowo - Gibran seakan lupa bahwa rakyat Jawa Tengah menghargai kejujuran lebih dari sekadar janji kosong @cepe_mtps  https://t.co/1iKNanOoW1,prabowo gibran seakan lupa bahwa rakyat jawa tengah menghargai kejujuran lebih dari sekadar janji kosong,negatif 
Prabowo - Gibran  sebaiknya fokus pada visi nyata daripada menciptakan cerita karangan @Cutamine  https://t.co/wlj9hGBPl1,prabowo gibran sebaiknya fokus pada visi nyata daripada menciptakan cerita karangan,negatif 
Ganjar - Mahfud adalah harapan rakyat Jawa Tengah yang tidak terpengaruh oleh drama politik Prabowo - Gibran @cintaayahgepinn  https://t.co/QLXIXF47Kw,ganjar mahfud adalah harapan rakyat jawa tengah yang tidak terpengaruh oleh drama politik prabowo gibran,negatif 
Pemuda Asal Kota Malang merilis lagu untuk pasangan Prabowo Subianto - Gibran  Simak lagu seutuhnya  👇👇👇  https://t.co/xgxcfyh8b1 ,pemuda asal kota malang merilis lagu untuk pasangan prabowo subianto gibran simak lagu seutuhnya,positif
