full_text,text_clean,label
"Presiden ke-6 Republik Indonesia, Susilo Bambang Yudhoyono (SBY), menggambarkan calon presiden nomor urut dua, Prabowo Subianto, sebagai sosok patriot yang memiliki cinta mendalam pada negara dan bangsa.",presiden ke republik indonesia susilo bambang yudhoyono sby menggambarkan calon presiden nomor urut dua prabowo subianto sebagai sosok patriot yang memiliki cinta mendalam pada negara dan bangsa,positif
"Hal tersebut diungkapkan SBY dalam sambutannya saat menghadiri acara silaturahmi dan doa bersama ulama serta tokoh masyarakat Aceh yang digelar di Hermes Palace Hotel, Banda Aceh.",hal tersebut diungkapkan sby dalam sambutannya saat menghadiri acara silaturahmi dan doa bersama ulama serta tokoh masyarakat aceh yang digelar di hermes palace hotel banda aceh,positif
"Beliau adalah sahabat saya, beliau juga patriot yang mencintai bangsa dan negara ini,"" ujarnya dalam keterangan tertulis",beliau adalah sahabat saya beliau juga patriot yang mencintai bangsa dan negara ini ujarnya dalam keterangan tertulis,positif
"Sebagai mantan presiden yang telah memimpin Indonesia selama dua periode (2004-2014), pernyataan SBY tersebut mencerminkan hubungan yang erat antara kedua tokoh politik tersebut, yang tidak hanya bersifat politis tetapi juga menggambarkan rasa persahabatan mereka.",sebagai mantan presiden yang telah memimpin indonesia selama dua periode pernyataan sby tersebut mencerminkan hubungan yang erat antara kedua tokoh politik tersebut yang tidak hanya bersifat politis tetapi juga menggambarkan rasa persahabatan mereka,positif
"“Tangkapan di jagat maya saat ini Prabowo-Gibran masih unggul secara popularitas baik di Twitter maupun juga based on engagement,” kata Nurdiyansyah. ",tangkapan di jagat maya saat ini prabowogibran masih unggul secara popularitas baik di twitter maupun juga based on engagement kata nurdiyansyah,positif
" Platform media sosial yang didata yaitu Twitter atau X, Instagram, Youtube, Facebook, TikTok, online news, dan blog. Durasi penarikan data itu dilakukan 1-21 November 2023 dengan tingkat akurasi 92 persen. Prabowo-Gibran unggul secara popularitas dengan jumlah 1.210.499 percakapan. Sementara itu pasangan Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo-Mahfud MD masing-masing 659.514 dan 917.897 percakapan",platform media sosial yang didata yaitu twitter atau instagram youtube facebook tiktok online news dan blog durasi penarikan data itu dilakukan november dengan tingkat akurasi persen prabowogibran unggul secara popularitas dengan jumlah percakapan sementara itu pasangan anies baswedanmuhaimin iskandar dan ganjar pranowomahfud md masingmasing dan percakapan,positif
"Dari sisi interaksi digital, pasangan Prabowo-Gibran juga unggul jauh dibanding paslon lain. Namun, yang menjadi catatan, sentimen negatif Prabowo-Gibran juga paling besar dibanding dua paslon lain, yakni sebesar 26 persen. Berbeda jauh dengan Anies-Muhaimin dan Ganjar-Mahfud yang masing-masing 7 persen.",dari sisi interaksi digital pasangan prabowogibran juga unggul jauh dibanding paslon lain namun yang menjadi catatan sentimen negatif prabowogibran juga paling besar dibanding dua paslon lain yakni sebesar persen berbeda jauh dengan aniesmuhaimin dan ganjarmahfud yang masingmasing persen,negatif
"“Politik dinasti adalah isu yang paling banyak, isu sensitif yang disampaikan oleh kalangan warganet berkaitan dan perlu catatan khusus bagi tim 02 saat ini,” kata Nurdiyansyah.",politik dinasti adalah isu yang paling banyak isu sensitif yang disampaikan oleh kalangan warganet berkaitan dan perlu catatan khusus bagi tim saat ini kata nurdiyansyah,negatif
"“Sensitif isu yang menjadi awareness untuk bagaimana melakukan beberapa upaya agar tidak menjadi krisis untuk dimanfaatkan pihak lawan,” tutur dia. ",sensitif isu yang menjadi awareness untuk bagaimana melakukan beberapa upaya agar tidak menjadi krisis untuk dimanfaatkan pihak lawan tutur dia,negatif
"Namun, Nurdiyansyah mengatakan, narasi politik “gemoy” yang dibangun pihak Prabowo-Gibran membuat pembicaraan terhadap mereka meningkat di media sosial. “Yang positif narasi politik gemoy ini menjadi salah satu faktor kenapa pembicaraan terhadap Prabowo-Gibran ini meningkat,” kata Nurdiyansyah. ",namun nurdiyansyah mengatakan narasi politik gemoy yang dibangun pihak prabowogibran membuat pembicaraan terhadap mereka meningkat di media sosial yang positif narasi politik gemoy ini menjadi salah satu faktor kenapa pembicaraan terhadap prabowogibran ini meningkat kata nurdiyansyah,positif
"“Alangkah lebih baiknya juga bagaimana gimik atau narasi ini bisa diperkuat atau dielaborasi dengan konteks narasi program,” tutur Nurdiyansyah. ",alangkah lebih baiknya juga bagaimana gimik atau narasi ini bisa diperkuat atau dielaborasi dengan konteks narasi program tutur nurdiyansyah,negatif
"Pengamat politik sekaligus Direktur Parameter Politik Indonesia (PPI) Adi Prayitno menilai, melesatnya elektabilitas Prabowo-Gibran menunjukkan isu-isu negatif yang menerpa keduanya hanya berkembang dan berkelindan di kalangan elitis.",pengamat politik sekaligus direktur parameter politik indonesia ppi adi prayitno menilai melesatnya elektabilitas prabowogibran menunjukkan isuisu negatif yang menerpa keduanya hanya berkembang dan berkelindan di kalangan elitis,negatif
"Menurut saya, semacam anomali di satu sisi isu ini memang sangat negatif terkait dengan putusan MK dan politik dinasti. ",menurut saya semacam anomali di satu sisi isu ini memang sangat negatif terkait dengan putusan mk dan politik dinasti,negatif
"Tapi, pada saat bersamaan isu ini hanya menjadi isu yang cukup elitis karena hanya milik kelas menengah ke atas secara ekonomi ataupun secara pendidikan,""",tapi pada saat bersamaan isu ini hanya menjadi isu yang cukup elitis karena hanya milik kelas menengah ke atas secara ekonomi ataupun secara pendidikan,negatif
