"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 06:20:10 +0000 2023","1732646161918668923","@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Awokawok https://t.co/jxhPpohDJM","0","2","3","12","in","1440914340022865921","1732410908637589794","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732646161918668923","https://pbs.twimg.com/ext_tw_video_thumb/1732645831277436928/pu/img/HJSjhPSn7ZMB-YEe.jpg",""
"Thu Dec 07 06:14:17 +0000 2023","1732644681241317794","@TeddGus @prabowo @gibran_tweet Diwarnai dg tangisan  mudah2 an gk  ngompol juga  🤣🤣🤣 https://t.co/pIhE7WxvkY","0","1","7","93","in","1440914340022865921","1732578942476062853","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732644681241317794","https://pbs.twimg.com/ext_tw_video_thumb/1732644652606726144/pu/img/IIMX2B35xJqpkmgP.jpg",""
"Tue Dec 12 04:12:15 +0000 2023","1734425910697484331","@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF","0","1","0","4","in","1135949597380042752","1734420607532707894","momenteeee","https://twitter.com/momenteeee/status/1734425910697484331","https://pbs.twimg.com/ext_tw_video_thumb/1734425889776279552/pu/img/7FaTmxkJI6GAeKmg.jpg","Malang, Jawa Timur"
"Wed Dec 06 05:39:54 +0000 2023","1732273639318532104","Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN","0","0","0","0","in","1715275061719150592","1732273639318532104","uciananda276395","https://twitter.com/uciananda276395/status/1732273639318532104","https://pbs.twimg.com/ext_tw_video_thumb/1732273585144971264/pu/img/4xnWjx-8IrqYK6Dc.jpg","Nganjuk"
"Sat Nov 25 23:53:47 +0000 2023","1728562660000846223","GOLKAR MENANG PRABOWO GIBRAN MENANG RAKYAT SEJAHTERA https://t.co/HPOQRomx3u","0","0","0","0","in","1720577328416489472","1728562660000846223","YzqQubro","https://twitter.com/YzqQubro/status/1728562660000846223","https://pbs.twimg.com/ext_tw_video_thumb/1728561903486824448/pu/img/X7x0VJPC6N9h_ufC.jpg","Triwung Kidul Kademangan Kota "
"Fri Nov 24 15:36:17 +0000 2023","1728075071174873106","Buat yg bilang Mas @gibran_tweet gak datang ke UM Surabaya karena takut debat  ini jawabannya ya.  Tadi siang Mas Gibran silaturahmi dengan ulama di Ponpes Amanatul Ummah  Mojokerto. Belio mendapat banyak masukan dari ulama.  #Gibran #PrabowoGibran https://t.co/X7Dx22FrDV","44","1066","59","461","in","1576913175227748352","1728075071174873106","dekade_08","https://twitter.com/dekade_08/status/1728075071174873106","https://pbs.twimg.com/media/F_tbHRcaIAAz19R.jpg","DKI Jakarta, Indonesia"
"Wed Dec 06 05:32:08 +0000 2023","1732271687436317173","Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL","0","0","0","0","in","1686642771279683584","1732271687436317173","gunawansam98108","https://twitter.com/gunawansam98108/status/1732271687436317173","https://pbs.twimg.com/ext_tw_video_thumb/1732271632776069120/pu/img/ObNG5OPBcGf6ZNdy.jpg","Jember, Jawa Timur"
"Wed Dec 06 12:10:50 +0000 2023","1732372021957513563","Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL","0","0","0","0","in","1568775892784259073","1732372021957513563","YuliaEster4","https://twitter.com/YuliaEster4/status/1732372021957513563","https://pbs.twimg.com/ext_tw_video_thumb/1732371942836158464/pu/img/zft9UJIicpqnApV6.jpg","Malang, Jawa Timur"
"Wed Dec 06 05:34:36 +0000 2023","1732272306368676283","Suara bulat ratusan mantan kades Cirebon  menyuarakan harapan baru dengan Prabowo-Gibran https://t.co/6bjdBcUDd9","0","0","0","0","in","1698571147779112960","1732272306368676283","ArdiWinoyo5211","https://twitter.com/ArdiWinoyo5211/status/1732272306368676283","https://pbs.twimg.com/ext_tw_video_thumb/1732272249384890369/pu/img/SyucjudwIQeTV-BN.jpg","Kraksaan, Indonesia"
"Wed Dec 06 05:44:47 +0000 2023","1732274868182561244","Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et","0","0","0","0","in","1715356680740077569","1732274868182561244","tumizan341","https://twitter.com/tumizan341/status/1732274868182561244","https://pbs.twimg.com/ext_tw_video_thumb/1732274813379706880/pu/img/NNs5J4DD62Irqkuy.jpg","Lumajang, Indonesia"
"Wed Dec 06 05:34:38 +0000 2023","1732272314799280336","Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj","0","0","0","0","in","1715248674199257088","1732272314799280336","adindaanug70949","https://twitter.com/adindaanug70949/status/1732272314799280336","https://pbs.twimg.com/ext_tw_video_thumb/1732272260604690432/pu/img/FhI7oJn98uoFEbJh.jpg","Pacitan, Indonesia"
"Wed Dec 06 06:01:34 +0000 2023","1732279094103187680","Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9","0","0","0","0","in","1698587595880755200","1732279094103187680","ArnoldDedi36248","https://twitter.com/ArnoldDedi36248/status/1732279094103187680","https://pbs.twimg.com/ext_tw_video_thumb/1732279024431566848/pu/img/YMH9q-lCtn4RF3m3.jpg","Ponorogo"
"Wed Dec 06 05:42:26 +0000 2023","1732274279293886897","Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL","0","0","0","0","in","1716270615592886272","1732274279293886897","azkadinaaliesha","https://twitter.com/azkadinaaliesha/status/1732274279293886897","https://pbs.twimg.com/ext_tw_video_thumb/1732274222305820672/pu/img/lOMzGd3tyFFrFA6D.jpg","Nganjuk"
"Wed Dec 06 05:47:33 +0000 2023","1732275567016485368","Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ","0","0","0","0","in","1699000360961212416","1732275567016485368","mahendramardhi1","https://twitter.com/mahendramardhi1/status/1732275567016485368","https://pbs.twimg.com/ext_tw_video_thumb/1732275515602718720/pu/img/Ldo_9E92LbRW_M78.jpg","Bangil"
"Wed Dec 06 05:51:49 +0000 2023","1732276637616730243","Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8","0","0","0","0","in","1715548357517787136","1732276637616730243","abigail1829820","https://twitter.com/abigail1829820/status/1732276637616730243","https://pbs.twimg.com/ext_tw_video_thumb/1732276580540649474/pu/img/_bBiw40HuAz0lfL6.jpg","Magetan, Indonesia"
"Wed Dec 06 06:01:15 +0000 2023","1732279013689922028","Mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama Prabowo-Gibran. https://t.co/oVbZwgzzNc","0","0","0","0","in","1716366297595088896","1732279013689922028","kevia_lynne","https://twitter.com/kevia_lynne/status/1732279013689922028","https://pbs.twimg.com/ext_tw_video_thumb/1732278957125652480/pu/img/0080KLROeVR_Yioz.jpg","Jombang"
"Wed Dec 06 05:44:59 +0000 2023","1732274917763432475","Mantan Kepala Desa bersama Prabowo-Gibran  karena kita percaya pada perubahan yang lebih baik https://t.co/hHyvUWqb5X","0","0","0","0","in","1701450297531625472","1732274917763432475","dudi_budi94570","https://twitter.com/dudi_budi94570/status/1732274917763432475","https://pbs.twimg.com/ext_tw_video_thumb/1732274867024834560/pu/img/7bZzY4gHZFOwxdak.jpg","Nganjuk"
"Wed Dec 06 05:34:46 +0000 2023","1732272348076916765","Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf","0","0","0","0","in","1715277228215570432","1732272348076916765","maharanialya22","https://twitter.com/maharanialya22/status/1732272348076916765","https://pbs.twimg.com/ext_tw_video_thumb/1732272293219610624/pu/img/YfWMamDKud5bCW6r.jpg","Jombang, Indonesia"
"Wed Dec 06 05:52:26 +0000 2023","1732276795406491915","Dukungan penuh dari mantan pemimpin desa: Prabowo-Gibran adalah solusi untuk perubahan positif. https://t.co/tDmL2aHm0i","0","0","0","0","in","1702246871174152192","1732276795406491915","yusuf208733","https://twitter.com/yusuf208733/status/1732276795406491915","https://pbs.twimg.com/ext_tw_video_thumb/1732276738439417856/pu/img/oeFurjwFT0e-TykY.jpg","Lumajang"
"Wed Dec 06 05:32:31 +0000 2023","1732271783464841435","Semangat segar mantan kades di Kota/Kabupaten Cirebon buat atmosfer positif untuk Prabowo-Gibran https://t.co/zQJzKZgwee","0","0","0","0","in","1698998230732967936","1732271783464841435","lelana_ristia","https://twitter.com/lelana_ristia/status/1732271783464841435","https://pbs.twimg.com/ext_tw_video_thumb/1732271672571609088/pu/img/oewc7zX4aBzv8NI1.jpg","Ponorogo"
"Wed Dec 06 05:34:42 +0000 2023","1732272331832352889","Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/0oUgi6JniP","0","0","0","0","in","1703619804526161920","1732272331832352889","fara1222398","https://twitter.com/fara1222398/status/1732272331832352889","https://pbs.twimg.com/ext_tw_video_thumb/1732272262622199808/pu/img/FuUgv-s8S0kB6j2r.jpg","Pacitan"
"Sat Nov 04 01:21:35 +0000 2023","1720612220889887154","@jokowi Mentang² prabowo-gibran jadi capres-cawapres terus sering nyebut "pagi" #JokowiMalinKundang https://t.co/WR8oUg3q5c","0","0","0","0","in","103812302","1720252630621118789","winanto_siswoWP","https://twitter.com/winanto_siswoWP/status/1720612220889887154","https://pbs.twimg.com/ext_tw_video_thumb/1720612180377161728/pu/img/QxlPBDNUAv8wKVm9.jpg","Malang, East Java, Indonesia"
"Wed Dec 06 05:38:11 +0000 2023","1732273209662419149","Prabowo-Gibran  memastikan setiap kebijakan tetap berpihak pada nilai-nilai kemanusiaan.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/aUM5os1D3v","0","0","0","0","in","1638087765035487234","1732273209662419149","kristantid930","https://twitter.com/kristantid930/status/1732273209662419149","https://pbs.twimg.com/ext_tw_video_thumb/1732273151290355712/pu/img/Ky3rr97s5xPzFa4B.jpg","Magetan, Indonesia"
"Sun Oct 22 18:47:38 +0000 2023","1716164424053256633","Rakyat sudah cerdas siapa yang pantas jadi presiden 2024 #prabowo #gibran https://t.co/fQsSsMK8ec","0","0","0","0","in","1565305684023193606","1716164424053256633","AnamAl_katiry","https://twitter.com/AnamAl_katiry/status/1716164424053256633","https://pbs.twimg.com/media/F9EKcRubIAAgGMF.jpg",""
"Sun Dec 10 14:40:54 +0000 2023","1733859338425622815","Optimalisasi Program Jokowi  Prabowo-Gibran Berkomitmen untuk Melanjutkan  https://t.co/CkSyq62xCQ","0","0","0","1","in","1668262273561817092","1733859338425622815","aboutmalang_com","https://twitter.com/aboutmalang_com/status/1733859338425622815","","Malang"
"Wed Dec 06 05:42:53 +0000 2023","1732274391860535299","Prabowo-Gibran  garda terdepan dalam memperjuangkan hak asasi manusia di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/FNg3rm3ytL","0","0","0","0","in","1657195953621995521","1732274391860535299","rismara89389678","https://twitter.com/rismara89389678/status/1732274391860535299","https://pbs.twimg.com/ext_tw_video_thumb/1732274327557754880/pu/img/X9zH22MNt6LAA90m.jpg","Nganjuk, Indonesia"
