"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 14:01:15 +0000 2023","1732762194704486640","@PartaiSocmed Paslon 2 terlalu banyak cacat: 1. Penculik 2. Gagal di Food estate 3. Pemarah 4. Tua  jln tdk normal n mulut miring 5. Pengkhianat pendukung 6. Anak lahir dari pelanggaran konstitus 7. Es doger 72M Asam sulfat 8. Takut debat 9.... https://t.co/ECTFyfIexr","0","0","2","5","in","1603768816189988865","1732632314247831908","rangkutifuat","https://twitter.com/rangkutifuat/status/1732762194704486640","https://pbs.twimg.com/media/GAwCBipWwAA-HNf.jpg","Kota Surabaya, Jawa Timur"
"Tue Dec 12 11:57:51 +0000 2023","1734543081301778475","Food estate di bawah Prabowo lebih sukses menanam masalah daripada tanaman pangan @lmbggg1 Gemoy Penculik https://t.co/NeQV4xg5MN","0","0","0","0","in","1712393339247656960","1734543081301778475","AngkasavS","https://twitter.com/AngkasavS/status/1734543081301778475","https://pbs.twimg.com/media/GBJVvBWawAABa9Y.jpg","Probolinggo"
"Tue Dec 12 12:17:10 +0000 2023","1734547942021992529","Food estate di bawah Prabowo Menteri Pertahanan yang lebih pintar menaklukkan hutan daripada mengatasi masalah pangan @ljwnscl Gemoy Penculik https://t.co/Y8IIba6FAu","0","0","0","0","in","1712682978764349440","1734547942021992529","AndiniResyaa","https://twitter.com/AndiniResyaa/status/1734547942021992529","https://pbs.twimg.com/media/GBJaJ6lbsAAgnG0.jpg","Madiun"
"Wed Dec 13 04:38:52 +0000 2023","1734794995130077542","@mpoklela7 @temanduit @asepsofyanwci @BANGSAygSUJUD @OppungTp @AndreasSolusi @Alie_Fahnoor @mimih6mei @VaniaKiara3002 @icikiwir_08 @PS_presiden2024 @JordanMihaf di daerah “food estate” yg dianggap gagal itu hasil survei Prabowo justru tertinggi  jogetin aja ahh… https://t.co/5tuAPxOMBZ","0","0","0","1","in","1078132680909148162","1734418050181743032","SoesantoAry","https://twitter.com/SoesantoAry/status/1734794995130077542","https://pbs.twimg.com/media/GBM62bTbIAAmjlr.jpg","Kota Malang, Jawa Timur"
"Fri Dec 08 01:46:04 +0000 2023","1732939568884978135","@kegblgnunfaedh Efek food estate????","0","0","0","0","ro","308344122","1732746742473572632","elzamil","https://twitter.com/elzamil/status/1732939568884978135","","Jombang, Indonesia"
"Tue Dec 12 14:20:28 +0000 2023","1734578972313391316","@Gerindra 20 th tidak berkuasa sulit dapat kredit  bisnis macet tp setelah masuk kekuasaan lancar jaya  anggaran terus ditambah  food estate sukses berbuah 😄","0","4","0","0","in","233985933","1734569481027166635","alfamotor","https://twitter.com/alfamotor/status/1734578972313391316","","Malang, Jawa Timur"
"Thu Dec 07 09:14:20 +0000 2023","1732689990801625302","@IrawanRommi https://t.co/TMtXREIbz1","0","0","0","2","qme","1532853448462733312","1732689085553426691","ejaferdiansyah","https://twitter.com/ejaferdiansyah/status/1732689990801625302","",""
"Fri Dec 08 11:31:30 +0000 2023","1733086897537503476","@Gerindra Apa ini maksudnya food estate itu ya min?","0","0","0","0","in","233985933","1732387051344130048","alfamotor","https://twitter.com/alfamotor/status/1733086897537503476","","Malang, Jawa Timur"
"Wed Dec 13 05:08:29 +0000 2023","1734802446940266747","@shan_er96 @dokterkablang @croissantplainn Dapet anggaran bikin food estate berapa puluh triliun juga hangus..","0","1","0","0","in","1459550126","1734718967909138521","Jony_jn","https://twitter.com/Jony_jn/status/1734802446940266747","","Kota Surabaya, Jawa Timur"
"Wed Dec 13 13:03:34 +0000 2023","1734922007073206763","@lukmanpohan08 @kumparan Food estate jg","0","0","0","0","en","154432709","1734814683436372269","datosalam","https://twitter.com/datosalam/status/1734922007073206763","","Malang - East Java - Indonesia"
