"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 06 04:21:13 +0000 2023","1732253838265237897","idolaku semua Prabowo-Gibran pemimpin yang dekat dan memikirkan rakyat #GibranMendengar https://t.co/PzCdCOuJL7","1","27","147","43","in","870742633139666944","1732253838265237897","nitnotw","https://twitter.com/nitnotw/status/1732253838265237897","https://pbs.twimg.com/media/GAozrvZaEAAb8nQ.jpg","Kota Surabaya, Jawa Timur"
"Tue Dec 05 16:01:51 +0000 2023","1732067771524186150","Kok gak diundang sih anak nepo sama @tvOneNews  ?  Jangan gitulah caranya  Gibran jg punya hak untuk tampil di acara ini  katanya idola Milenial &amp; sosok yg mewakili kaum muda  malah gak diundang https://t.co/Zgo5qzWQsd","6","63","84","276","in","1417525464248184832","1732067771524186150","naaooollll","https://twitter.com/naaooollll/status/1732067771524186150","https://pbs.twimg.com/media/GAmKdXlakAAeHdc.jpg","Kota Malang, Jawa Timur"
"Sun Dec 10 02:29:59 +0000 2023","1733675395931894086","@dapitnih @vaniepink Gibran masih kalah survey.. surveynya diulang terus","2","7","35","802","in","37595056","1733667306298044481","mas_mto","https://twitter.com/mas_mto/status/1733675395931894086","","Malang, Jawa Timur"
"Wed Dec 06 14:49:54 +0000 2023","1732412053217058908","Blimbing Sayur Gibran Rakabuming gak berani datang  takut dirujak dibikin sayur asam sulfat😅🤭🤭 https://t.co/2Q3xze4FvP","0","1","1","13","in","1404631725670486020","1732412053217058908","tukangrosok_22","https://twitter.com/tukangrosok_22/status/1732412053217058908","https://pbs.twimg.com/ext_tw_video_thumb/1732411013969108992/pu/img/iOayfxcLl2LvoRrX.jpg","Malang, Jawa Timur"
"Thu Dec 07 05:28:11 +0000 2023","1732633080203235526","Sampe hari ini   tema kampanye :   Paslon 1 : perubahan  tolak IKN  Indonesia bahaya kalau mereka kalah.  Paslon 2 : Keberlanjutan Hilirisasi  Gemoy z Makan siang &amp;susu gratis   Paslon 3 : Prabowo  Jokowi   Gibran   Iriana  PSI   Kecurangan   Sepertinya akan begitu sampe pemilu .","2","52","40","125","in","1197213380525707264","1732633080203235526","bentangnegeri","https://twitter.com/bentangnegeri/status/1732633080203235526","","Kota Surabaya, Jawa Timur"
"Wed Dec 06 14:20:45 +0000 2023","1732404717668782481","GOOOOO !!! https://t.co/vPFSS9ONiW","1","0","1","2","und","1241216144125480970","1732404717668782481","GibranLeander","https://twitter.com/GibranLeander/status/1732404717668782481","https://pbs.twimg.com/media/GAq83p6bkAEaVgW.jpg","Kota Malang, Jawa Timur"
"Wed Dec 06 17:12:55 +0000 2023","1732448041897259091","Calon lain berdebat tentang cara meraih SUARA Milenial Dan Gen Z di forum kaku. Lalu  merasa lebih ngerti tentang Generasi ini .  GIBRAN BE LIKE ; https://t.co/mz20oroEpT","5","43","19","79","in","1197213380525707264","1732448041897259091","bentangnegeri","https://twitter.com/bentangnegeri/status/1732448041897259091","https://pbs.twimg.com/ext_tw_video_thumb/1732448016710463491/pu/img/AYmuPdugAoOhN1Pj.jpg","Kota Surabaya, Jawa Timur"
"Tue Dec 05 06:00:44 +0000 2023","1731916494643306839","Mantap Peningkatan Ekonomi Solo Di Bawah Walikota Gibran  #GibranMendengar https://t.co/AiKqywB7Qn","0","0","5","6","in","968946160130904064","1731916494643306839","fkomjen","https://twitter.com/fkomjen/status/1731916494643306839","https://pbs.twimg.com/media/GAkA35QbEAA-6EK.jpg","Kota Surabaya, Jawa Timur"
"Fri Dec 08 00:18:32 +0000 2023","1732917540911972395","Saya masih ada kemungkinan pilih capres yang mana saja.   Karena bagi saya: - Anies Baswedan - Muhaimin Iskandar - Prabowo Subianto - Gibran Rakabuming Raka - Ganjar Pranowo - Mahfud MD semuanya saya yakini adalah orang baik.  Sehingga ketika kita tak memilih 2 paslon yang lain …","8","58","30","218","in","185156524","1732917540911972395","hasyimmah","https://twitter.com/hasyimmah/status/1732917540911972395","","Mojokerto"
"Thu Dec 07 06:20:10 +0000 2023","1732646161918668923","@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Awokawok https://t.co/jxhPpohDJM","0","2","3","12","in","1440914340022865921","1732410908637589794","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732646161918668923","https://pbs.twimg.com/ext_tw_video_thumb/1732645831277436928/pu/img/HJSjhPSn7ZMB-YEe.jpg",""
"Sat Dec 09 11:44:35 +0000 2023","1733452579374592136","Sementara itu..  8000 Pendukung A### di Jakarta beralih dukung Prabowo~Gibran  alasannya lebih sejahtera...  Kalian memang berpikirnya sangat rasional 😃😃✌✌✌  https://t.co/jwTbVUoBiI","2","5","2","12","in","1625830843251056641","1733452579374592136","njsusilo","https://twitter.com/njsusilo/status/1733452579374592136","","Kota Surabaya, Jawa Timur"
"Tue Dec 05 06:04:03 +0000 2023","1731917330135835135","#GibranMendengar sebagai pemimpin baliau juga mendengarkan keluh kesah masyarakat  @gibran_tweet https://t.co/v2bMfOzapY","0","0","6","7","in","929167899150901249","1731917330135835135","anlyelir","https://twitter.com/anlyelir/status/1731917330135835135","https://pbs.twimg.com/media/GAkBoeGaMAAVA_8.jpg","Kota Surabaya, Jawa Timur"
"Thu Dec 07 15:19:01 +0000 2023","1732781768925913206","I secretly wished this is (jokingly  of course) how Gibran will shut Anies remark on debate. Then  Prabowo will dance as soon as Gibran shut his mouth.","0","0","0","1","en","369983210","1732781768925913206","dikanchut","https://twitter.com/dikanchut/status/1732781768925913206","","Surabaya, Jawa Timur"
"Sat Dec 09 13:30:29 +0000 2023","1733479227863990629","@Menu_Dasi @gibran_tweet @prabowo @ganjarpranowo Gassspol..🤟  #GasssGanjarMahfud","0","1","1","1","en","2884352413","1733469598731952195","cak_agoest","https://twitter.com/cak_agoest/status/1733479227863990629","","Kota Surabaya, Jawa Timur"
"Thu Dec 07 06:14:17 +0000 2023","1732644681241317794","@TeddGus @prabowo @gibran_tweet Diwarnai dg tangisan  mudah2 an gk  ngompol juga  🤣🤣🤣 https://t.co/pIhE7WxvkY","0","1","7","93","in","1440914340022865921","1732578942476062853","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732644681241317794","https://pbs.twimg.com/ext_tw_video_thumb/1732644652606726144/pu/img/IIMX2B35xJqpkmgP.jpg",""
"Mon Dec 11 00:54:49 +0000 2023","1734013835051499998","Prabowo Bandingkan Gibran dengan Jenderal Soedirman  https://t.co/qwn5xlqHLP","4","20","0","10","in","848614550","1734013835051499998","e100ss","https://twitter.com/e100ss/status/1734013835051499998","","Kota Surabaya, Jawa Timur"
"Tue Dec 12 13:57:48 +0000 2023","1734573267153989824","Nonton #DebatCapres2023 cuma nungguin Gibran ngomong. Siapa yg sama hayoo😂","0","0","0","0","in","98831535","1734573267153989824","aldoncorleone","https://twitter.com/aldoncorleone/status/1734573267153989824","","SMAN 2 Surabaya"
"Wed Dec 13 02:29:25 +0000 2023","1734762419275399400","gibran","0","1","0","0","en","96136106","1734762419275399400","freeiphone10s","https://twitter.com/freeiphone10s/status/1734762419275399400","","Malang indonesia"
"Wed Dec 06 13:57:22 +0000 2023","1732398830971470157","la ndi @gibran_tweet https://t.co/Ccs8AExeJ1","0","0","0","0","tl","995433132760285184","1732398830971470157","omzzaid","https://twitter.com/omzzaid/status/1732398830971470157","https://pbs.twimg.com/media/GAq3jFaawAEu0dG.jpg","Malang"
"Wed Dec 13 10:03:12 +0000 2023","1734876615136731463","Hujan   susu coklat panas   Gibran Alcorcer 🎹 🤍","0","0","0","1","in","1118492337846439936","1734876615136731463","fajrinark_","https://twitter.com/fajrinark_/status/1734876615136731463","",""
"Wed Dec 13 11:43:09 +0000 2023","1734901770860867732","@jacobs_beu @nongandah @gibran_tweet Memang punya rasa itu? Lawong etika aja dilanggar.. awowowoookkkkk","0","0","1","1","in","2172321512","1734596720603136222","ishak1509","https://twitter.com/ishak1509/status/1734901770860867732","","Sidoarjo, Indonesia"
"Sun Dec 10 13:26:32 +0000 2023","1733840624225526255","Keberanian Gibran dalam membawa perubahan dinilai positif oleh masyarakat Surabaya. @Faizulabid14  https://t.co/NGCglyO2Ji","0","0","0","0","in","1678783184920776712","1733840624225526255","SRukyo","https://twitter.com/SRukyo/status/1733840624225526255","","Surabaya"
"Mon Dec 11 08:03:23 +0000 2023","1734121690026930524","Prabowo-Gibran Unggul Signifikan dari Pesaingnya Berdasarkan Survei Litbang Kompas https://t.co/FhRbicWW0k","0","1","0","5","in","848614550","1734121690026930524","e100ss","https://twitter.com/e100ss/status/1734121690026930524","","Kota Surabaya, Jawa Timur"
"Sat Dec 09 13:02:25 +0000 2023","1733472168498102577","@gibran_tweet Salam 🤟🤟🤟 https://t.co/ETOEsaUglX","0","0","0","0","in","1440914340022865921","1733294018275262732","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1733472168498102577","https://pbs.twimg.com/media/GA6Hvn1boAApIAX.jpg",""
