"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Fri Dec 08 07:29:13 +0000 2023","1733025926458552611","Capres pelanggar HAM? Prabowo! @VeracfPrasetyo  Gemoy Menolak Lupa https://t.co/gMtut3mvhH","0","0","0","0","in","1712788774953086977","1733025926458552611","AnandaDwitamiii","https://twitter.com/AnandaDwitamiii/status/1733025926458552611","https://pbs.twimg.com/ext_tw_video_thumb/1733025904178470912/pu/img/YShczYtkrTsepBpL.jpg","Probolinggo"
"Sat Dec 09 08:43:27 +0000 2023","1733406995305410827","Yang GAK YAKIN adalah mereka yang usia muda. Gencarkan issue HAM dalam sebulan saja. Nyungsep tuch Prabowo.","1","5","24","61","in","99743594","1733406995305410827","ike_hw71","https://twitter.com/ike_hw71/status/1733406995305410827","","Malang, Jawa Timur"
"Tue Dec 12 14:13:36 +0000 2023","1734577241961730331","Setuju dengan Pak Wiranto si aku  udah ga heran dengan pihak2 yang terus memunculkan dugaan pelanggaran HAM oleh Prabowo cuma muncul menjelang pilpres aja. https://t.co/SJKlkG3oIo","0","1","4","4","in","870742633139666944","1734577241961730331","nitnotw","https://twitter.com/nitnotw/status/1734577241961730331","https://pbs.twimg.com/media/GBJ0zmRbsAAijs_.jpg","Kota Surabaya, Jawa Timur"
"Fri Dec 08 07:33:04 +0000 2023","1733026895267295691","Pelanggar HAM tak pantas jadi pemimpin  Prabowo harus ditolak! @GunRomli  Gemoy Menolak Lupa https://t.co/SgRQ3kRJr4","0","0","0","0","in","1712393339247656960","1733026895267295691","AngkasavS","https://twitter.com/AngkasavS/status/1733026895267295691","https://pbs.twimg.com/ext_tw_video_thumb/1733026870080487424/pu/img/Wh1r8bUHcgaJIDF3.jpg","Probolinggo"
"Fri Dec 08 18:55:17 +0000 2023","1733198580863942937","Beranikah Prabowo bersumpah di depan Tuhan dan warga negara bahwa dia tak terlibat dalam pelanggaran HAM @DedeRukmana97  Pelanggaran HAM https://t.co/np57BmAKCN","0","0","0","0","in","1713816982422966272","1733198580863942937","mikopngstuu","https://twitter.com/mikopngstuu/status/1733198580863942937","https://pbs.twimg.com/ext_tw_video_thumb/1733198562316730368/pu/img/C9kUvIZV7uiSjm5f.jpg","Kediri"
"Tue Dec 12 13:12:40 +0000 2023","1734561909540876726","@PartaiSocmed Masalah HAM &amp; papua prabowo lebih mengutamakan asumsi daripada solusi dan doi terlihat emosi dengan tanggapan paslon yg lain. Butuh minum asam sulfat?","0","4","3","71","in","868004863","1734558699329380676","yanpanjie","https://twitter.com/yanpanjie/status/1734561909540876726","","Malang, Jawa Timur"
"Mon Dec 11 14:06:58 +0000 2023","1734213185266479470","Natalius Pigai: Prabowo Bersih dari Tuduhan Pelanggaran HAM https://t.co/W7lLLnuc8h","0","2","0","1","in","848614550","1734213185266479470","e100ss","https://twitter.com/e100ss/status/1734213185266479470","","Kota Surabaya, Jawa Timur"
"Tue Dec 12 05:32:42 +0000 2023","1734446153289302020","Pemimpin seharusnya teladan  bukan pelanggar HAM seperti Prabowo @faizalassegaf  Menolak Lupa https://t.co/7N5c34Zb32","0","0","0","0","in","1714140578664062976","1734446153289302020","Andriianakbarr","https://twitter.com/Andriianakbarr/status/1734446153289302020","https://pbs.twimg.com/media/GBH9lH6bIAAZ3ZV.jpg","Probolinggo"
"Wed Dec 13 06:04:04 +0000 2023","1734816435996901707","dikira jd presiden cmn ttg jaminan hukum doang ya  pemilih prabowo ga paham dirinya pelaku HAM @alfredstfu  Gemoy Penculik tangkap prabowo https://t.co/FL3j5Xg2eK","0","0","0","0","in","1713816982422966272","1734816435996901707","mikopngstuu","https://twitter.com/mikopngstuu/status/1734816435996901707","https://pbs.twimg.com/ext_tw_video_thumb/1734816411468570624/pu/img/SmxeXCYjuN5fFK_m.jpg","Kediri"
"Wed Dec 13 05:40:53 +0000 2023","1734810603187999134","duh debat kemaren prabowo pelaku HAM mau jaga HAM mana ngotak @Alfin_FR1  Gemoy Penculik tangkap prabowo https://t.co/5bbp8VCHYd","0","0","0","0","in","1713823909009883136","1734810603187999134","dindavaniatinaa","https://twitter.com/dindavaniatinaa/status/1734810603187999134","https://pbs.twimg.com/ext_tw_video_thumb/1734810572255100928/pu/img/R3sP4J1CU_V5G5Ee.jpg","Madiun"
