"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 13 07:31:22 +0000 2023","1734838407820722321",""Tenang Pak Prabowo  sudah ada saya disini"  Itulah fungsi cheerleader 🙄 https://t.co/ipBJ0FpSj9","4","15","34","143","in","1417525464248184832","1734838407820722321","naaooollll","https://twitter.com/naaooollll/status/1734838407820722321","https://pbs.twimg.com/ext_tw_video_thumb/1734838330607673344/pu/img/KQgWH5rktV0VBpLM.jpg","Kota Malang, Jawa Timur"
"Fri Dec 08 11:18:09 +0000 2023","1733083538139095180","Cerdasnya Kang Denny  ditambah ketawanya Akbar  plus pasrahnya Cing Abdel  membuat obrolan ini sangat-sangat lucu.  Ini sebuah kritikan yang caranya keren banget.  Prabowo sudah lihat belum  ya? https://t.co/Vzd8b7GAGZ","2","12","20","72","in","185156524","1733083538139095180","hasyimmah","https://twitter.com/hasyimmah/status/1733083538139095180","https://pbs.twimg.com/amplify_video_thumb/1733083472238084096/img/2WwBA3VUFVzu1Ckh.jpg","Mojokerto"
"Sun Dec 10 10:44:24 +0000 2023","1733799822883483804","Prabowo kartu mati ❌ https://t.co/ogM3R0nfPs","5","21","91","269","in","99743594","1733799822883483804","ike_hw71","https://twitter.com/ike_hw71/status/1733799822883483804","https://pbs.twimg.com/media/GA-xveoaoAATrq2.jpg","Malang, Jawa Timur"
"Wed Dec 06 06:11:12 +0000 2023","1732281518549237878","Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/NAhETqVWqV","0","0","0","0","in","1685921104467288064","1732281518549237878","PembenciK78284","https://twitter.com/PembenciK78284/status/1732281518549237878","https://pbs.twimg.com/ext_tw_video_thumb/1732281408004186112/pu/img/HaYTw-8Df1x8N-iE.jpg","Sidoarjo"
"Wed Dec 13 01:57:03 +0000 2023","1734754274389946524","Prabowo hampir bisa dipastikan sulit dikalahkan. Bahkan target Paslon 02 sudah di level menang 1 putaran.  Makanya sangat wajar ketika 01 dan 03 lebih memilih untuk menyerang 02.  01 dan 03 sulit Juara 1 di Putaran 1. Namun keduanya mungkin bisa menang jika bisa masuk Putaran 2.…","9","139","74","355","in","185156524","1734754274389946524","hasyimmah","https://twitter.com/hasyimmah/status/1734754274389946524","","Mojokerto"
"Tue Dec 12 14:03:41 +0000 2023","1734574749320450403","Pak Prabowo nembak Pak Anies  di bales rudal sama Pak Anies 🤣  "Kekuasaan itu bukan sekedar bisnis"  #AMINTerbaikNomor1 #aminungguldebatcapres","0","5","34","128","in","1417525464248184832","1734574749320450403","naaooollll","https://twitter.com/naaooollll/status/1734574749320450403","","Kota Malang, Jawa Timur"
"Thu Dec 07 09:25:44 +0000 2023","1732692861383242140","Saat anak dan menantu Jokowi dulu jadi walikota  nggak pernah dengar orang PDIP bahas dinasti.  Saat Gibran belum memutuskan jadi cawapres Prabowo  nggak pernah dengar orang PDIP bahas dinasti.  Malah PDIP sempat membuka peluang Gibran jadi cawapres Ganjar.  Waktu Prabowo…","40","292","229","757","in","185156524","1732692861383242140","hasyimmah","https://twitter.com/hasyimmah/status/1732692861383242140","","Mojokerto"
"Wed Dec 13 08:56:25 +0000 2023","1734859808451526729","Aslinya yg kacang lupa sama kulitnya itu ya Pak Prabowo  th 2019 pendukungnya totalitas support  bahkan tiap kampanye ada saweran yg dikumpulin untuk biaya kampanye   ada korban jiwa belain dia di demontrasi MK  eh yg didukung malah  nyemplung   jd siapa yg kacang lupa kulitnya ?","2","6","45","142","in","1417525464248184832","1734859808451526729","naaooollll","https://twitter.com/naaooollll/status/1734859808451526729","","Kota Malang, Jawa Timur"
"Wed Dec 13 11:38:56 +0000 2023","1734900710431699114","*Makan minum dan duit ikut prabowo tapi hati dan nyolosnya tetap pak Anies Baswedan* 🥱🥱🥱🤪😁🇮🇩☕🍵🇮🇩 ...... https://t.co/zIjzdNxYCn","1","8","7","32","in","1603537926482145280","1734900710431699114","IwanIwanely72","https://twitter.com/IwanIwanely72/status/1734900710431699114","https://pbs.twimg.com/ext_tw_video_thumb/1734900665984696320/pu/img/74Jf83dvpbphFE1d.jpg","Kota Surabaya, Jawa Timur"
"Wed Dec 13 16:17:33 +0000 2023","1734970826741674161","penjualan merchandise tersebut sebagai bukti bahwa Ganjar Mahfud tanpa bantuan dari oligarki  .  tag || Irish Bella Prabowo Impeachment Ordal Ammar Zoni Triple J Cadaver Santai Ginting CEO HMNS Oposisi Spirited Away sehun || https://t.co/bFMilS4fuP","0","1","1","9","in","1676055030514974726","1734970826741674161","FajriahLabaika","https://twitter.com/FajriahLabaika/status/1734970826741674161","https://pbs.twimg.com/ext_tw_video_thumb/1734969590688702464/pu/img/7lSR3MR8mnSWLB7v.jpg","surabaya"
"Mon Dec 11 07:11:21 +0000 2023","1734108594692567391","Bagaimanapun masyarakat akan lebih cenderung untuk memilih: MELANJUTKAN atau PERUBAHAN.  Yang "melanjutkan" itu memilih Prabowo-Gibran. Yang "perubahan" itu memilih Anies-Muhaimin.  Ganjar-Mahfud itu kurang kuat positioningnya. Nanggung. Narasi buzzernya membenci Jokowi tapi… https://t.co/wndcOxeTTf","8","144","78","338","in","185156524","1734108594692567391","hasyimmah","https://twitter.com/hasyimmah/status/1734108594692567391","https://pbs.twimg.com/media/GBDKkfsakAAnXfm.jpg","Mojokerto"
"Wed Dec 06 04:21:13 +0000 2023","1732253838265237897","idolaku semua Prabowo-Gibran pemimpin yang dekat dan memikirkan rakyat #GibranMendengar https://t.co/PzCdCOuJL7","1","27","147","43","in","870742633139666944","1732253838265237897","nitnotw","https://twitter.com/nitnotw/status/1732253838265237897","https://pbs.twimg.com/media/GAozrvZaEAAb8nQ.jpg","Kota Surabaya, Jawa Timur"
"Thu Dec 07 02:25:35 +0000 2023","1732587125139558856","Apakah ada yang lebih mampu dari Gibran sebagai cawapres Prabowo? Tentu ada. Kenapa dipilih? Karena Gibran membawa elektabilitas Jokowi untuk memenangkan Prabowo.  Apakah ada yang lebih mampu dari Kaesang sebagai Ketum PSI? Tentu ada. Kenapa dipilih? Karena Kaesang membawa…","32","400","186","1032","in","185156524","1732587125139558856","hasyimmah","https://twitter.com/hasyimmah/status/1732587125139558856","","Mojokerto"
"Sat Dec 09 03:54:23 +0000 2023","1733334251112898956","Sempat terbersit berharap Ganjar menang dan PDIP tidak juara 1 [di Pileg. Namun rasanya bakal kebalik  Ganjar kalah dan PDIP tetap memimpin Senayan.  Terlalu berat mengungguli PDIP. Terlalu berat mengalahkan Prabowo-Gibran.","20","180","47","309","in","185156524","1733334251112898956","hasyimmah","https://twitter.com/hasyimmah/status/1733334251112898956","","Mojokerto"
