"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 12 00:21:55 +0000 2023","1734367943969103973","Di forum debat  prediksi saya:  Prabowo akan dihabisi Anies dan Ganjar.   Gibran akan dihabisi Muhaimin dan Mahfud.  Prabowo-Gibran kalau bicara dan tampil di muka publik nggak bisa bagus. Malah sering blunder.  Menghadapi para aktivis lulusan UGM dengan pengalaman yang tak perlu…","105","471","564","3774","in","185156524","1734367943969103973","hasyimmah","https://twitter.com/hasyimmah/status/1734367943969103973","","Mojokerto"
"Tue Dec 12 14:26:02 +0000 2023","1734580371663241543","Savageeee ! blunder  personal  epic come back jadi satu semua disini 😄  "sorry yeee"  #DebatPilpres2024  @aniesbaswedan  @prabowo https://t.co/Tq2bXhg8V7","0","2","1","5","in","190175173","1734580371663241543","UbaidillahS_","https://twitter.com/UbaidillahS_/status/1734580371663241543","https://pbs.twimg.com/ext_tw_video_thumb/1734580152619958272/pu/img/NHp8jBe-wBEeiIe0.jpg","Kota Surabaya, Jawa Timur"
"Tue Dec 12 18:38:43 +0000 2023","1734643962399396030","@ajengcute16__ Kenyataannya  Prabowo jelas kelihatan emosi dan tidak mampu menguasai diri.. berkali-kali jawabannya blunder dan hanya menyerang pribadi calon lain. Nampak sekali Prabowo bukan bersikap sebagai dirinya sendiri  tapi memikul beban dari Tuannya yaitu bapaknya Gibroy.. https://t.co/9e823XNXY3","0","0","1","5","in","132390356","1734565649266233372","wibowo_jo","https://twitter.com/wibowo_jo/status/1734643962399396030","https://pbs.twimg.com/media/GBKxfaSasAAMjTG.jpg","Surabaya"
"Tue Dec 12 19:56:17 +0000 2023","1734663481067241920","Ugh males banget kl udh liat tweet yg menjatuhkan paslon tertentu.  Ya  aku dukung salah satu paslon. Tapi benci pake banget kl udh ada yg ngejelek2in paslon tertentu.  Misal ada yg blg anis banyak ngomong  prabowo gemoy gajelas  ato ganjar blunder.","0","2","1","0","in","1236734003744399360","1734663481067241920","meowrcurry","https://twitter.com/meowrcurry/status/1734663481067241920","","Kota Surabaya, Jawa Timur"
"Tue Dec 12 15:02:13 +0000 2023","1734589478709449177","Objektif saja  menurutku yang bagus itu pas Prabowo nanggapi isu Papua meski agak berlebihan.  Kalau di Isu demokrasi  Prabowo gk nyambung + blunder. Ngambil kejadian pas Pilgub DKI 2017. Padahal paparan Anis  data indeks demokrasi menurun sampai pada hari ini... 😭","0","1","0","0","in","1080104888086913026","1734589478709449177","Presrid1","https://twitter.com/Presrid1/status/1734589478709449177","","Sidoarjo, Indonesia"
"Wed Dec 13 12:43:13 +0000 2023","1734916886419419286","Prabowo Dibuat Malu didebat Capres Oleh Ganjar Dan Anies   dan dibuat Prabowo Blunder SAT SET #LanjutGAN #DebatCapres https://t.co/41JGtvDBkT","0","0","0","0","in","608860814","1734916886419419286","Rikawahyuna","https://twitter.com/Rikawahyuna/status/1734916886419419286","https://pbs.twimg.com/ext_tw_video_thumb/1734916530478190592/pu/img/kAvLhC_GSxk6zqH4.jpg","Malang"
"Tue Dec 12 13:28:38 +0000 2023","1734565928023851008","pak @prabowo blunder ke @aniesbaswedan wkwkwkw #DebatCapres","0","0","0","0","in","280095300","1734565928023851008","Amin_sevensoul","https://twitter.com/Amin_sevensoul/status/1734565928023851008","","Purworejo"
"Tue Dec 12 13:35:16 +0000 2023","1734567595033194497","ini sih yang debat mending #GanjarPranowo sama #anies aja  #prabowo blunder mulu","0","0","0","0","in","1563061052199251969","1734567595033194497","samuelsuryadii","https://twitter.com/samuelsuryadii/status/1734567595033194497","","Surabaya, Indonesia "
"Wed Dec 13 02:41:30 +0000 2023","1734765458526752812","@MataNajwa Prabowo bikin blunder....","0","0","1","1","en","710064727","1734647628430819360","KangMas2012","https://twitter.com/KangMas2012/status/1734765458526752812","","Malang"
"Tue Dec 12 14:59:46 +0000 2023","1734588861995716847","emang bener pak prabowo makin banyak ngomong makin sering blunder pak prabowo kalau jadi kiper satu pertandingan bisa kebobolan 32 gol kayanya😭","0","0","0","0","in","962316589507919873","1734588861995716847","Dongklow_","https://twitter.com/Dongklow_/status/1734588861995716847","","Kediri, Indonesia"
"Wed Dec 13 12:50:45 +0000 2023","1734918780101570573","bersusah payah untuk menaikan prabowo yang blunder kemarin 😔😭","0","0","0","1","in","235016002","1734918780101570573","SexyyBambooe","https://twitter.com/SexyyBambooe/status/1734918780101570573","","Surabaya"
"Tue Dec 12 13:43:45 +0000 2023","1734569732072984751","Blunder dong @prabowo   kok personal andaa 😁😁😁😁","0","0","0","1","in","73867118","1734569732072984751","dio_valentino","https://twitter.com/dio_valentino/status/1734569732072984751","","Kota Malang, Jawa Timur"
"Wed Dec 06 12:53:25 +0000 2023","1732382739960365245","@PartaiSocmed Blunder lg nih postingan bahas Israel Buzzernya @prabowo knpa malah mengikis elektabilitas 02 ya penyusup nih @PartaiSocmed","0","0","2","3","in","827012614513242112","1732302703257436245","hendrogyver","https://twitter.com/hendrogyver/status/1732382739960365245","","Kota Surabaya, Jawa Timur"
"Tue Dec 12 14:52:47 +0000 2023","1734587105450537052","Ralat   9 - 8 - 10  Pak Prabowo ngga menjawab sama sekali  malah jatohnya blunder","0","1","0","0","in","1374638965559455749","1734558761681924183","geriisme","https://twitter.com/geriisme/status/1734587105450537052","","Kota Surabaya, Jawa Timur"
