"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 05:28:11 +0000 2023","1732633080203235526","Sampe hari ini   tema kampanye :   Paslon 1 : perubahan  tolak IKN  Indonesia bahaya kalau mereka kalah.  Paslon 2 : Keberlanjutan Hilirisasi  Gemoy z Makan siang &amp;susu gratis   Paslon 3 : Prabowo  Jokowi   Gibran   Iriana  PSI   Kecurangan   Sepertinya akan begitu sampe pemilu .","2","52","40","125","in","1197213380525707264","1732633080203235526","bentangnegeri","https://twitter.com/bentangnegeri/status/1732633080203235526","","Kota Surabaya, Jawa Timur"
"Sun Apr 23 14:28:30 +0000 2023","1650144618892386304","Satu yang kita ketahui bersama  soal ketegasan Pak Prabowo dalam bersikap  dari awal Capres bahkan sudah 2x meskipun gagal  masa mau jadi Cawapres hanya karena ingin berkuasa? Itu bukan anda Jenderal!!! Tolak!!! https://t.co/F04fHbATw4","1","7","14","18","in","1531341312166723585","1650144618892386304","satupersepsi","https://twitter.com/satupersepsi/status/1650144618892386304","https://pbs.twimg.com/media/FuZ9x8baYAAJCvu.jpg","DKI Jakarta, Indonesia"
"Tue Jul 09 13:33:44 +0000 2019","1148586034411663360","Tolak Rekonsiliasi Jokowi-Prabowo  Fadli Zon: Memangnya Kita Perang? https://t.co/BKKRpLFYRE  @fadlizon @jokowi @Gerindra @prabowo @Dahnilanzar @sandiuno @aheryawan @fadjroeL @AndiArief__ @SBYudhoyono @susipudjiastuti @PDI_Perjuangan @Fahrihamzah","0","0","0","0","in","895253300542558210","1148586034411663360","redaksi_realita","https://twitter.com/redaksi_realita/status/1148586034411663360","","East Java, Indonesia"
"Thu Jun 27 16:55:36 +0000 2019","1144288178477494272","Tiga : PERSATUAN INDONESIA    MK Tolak Seluruhnya Permohonan Prabowo-Sandiaga https://t.co/k68CVAY8RJ #LINETODAY","0","0","0","0","in","132140181","1144288178477494272","margaretha_rlin","https://twitter.com/margaretha_rlin/status/1144288178477494272","",""
"Thu Dec 19 09:03:54 +0000 2019","1207587347786715137","@Syarman59 @detikcom @detikfinance @jokowi @Edhy_Prabowo Saya yang di Trenggalek juga tolak...","0","1","1","5","in","1022106958873079809","1207583985594966018","Harymura1","https://twitter.com/Harymura1/status/1207587347786715137","","East Java, Indonesia"
"Tue Nov 28 22:53:07 +0000 2023","1729634552455258466","Gak percaya.Masak Prabowo Gibran tolak hadir di acara dialog ttg Hukum dan HAM? Masak Prabowo takut?Kalo Gibran takut hadir bisa dimaklumi tidak mampu. https://t.co/y0sp090elo","0","0","0","0","in","1639157189792378882","1729634552455258466","HendZiddane","https://twitter.com/HendZiddane/status/1729634552455258466","https://pbs.twimg.com/media/GADldM0aIAAp_ar.jpg","Bogor,Jabar"
"Mon Sep 23 23:17:24 +0000 2019","1176274392780664832","@purplerebel Ga ada hub nya ma Prabowo  Jokowi.  Ini soal tolak RUU KUHP","0","0","1","3","in","949294580263866370","1176057772045197312","eedhazz______99","https://twitter.com/eedhazz______99/status/1176274392780664832","","apart. Essense Dhrmawangsa,Jkt"
"Tue Dec 12 13:48:06 +0000 2023","1734570827964932498","Gak pantas Prabowo jadi capres  rakyat tolak capres penculik @__bukanurusanmu  Gemoy Penculik Jelas MasBowoGibran Tegas VisiPakbowo KeadilanYgPasti https://t.co/U3mSXa0IHW","0","0","0","0","in","1715000262518362112","1734570827964932498","antoninicholass","https://twitter.com/antoninicholass/status/1734570827964932498","https://pbs.twimg.com/media/GBJu-aOagAAx4sY.jpg","Pasuruan"
"Wed Dec 13 01:49:06 +0000 2023","1734752270594785583","Andi Arief Tolak Tudingan Prabowo Bawa Kembali ke Rezim Orde Baru. 👇  Ketua Bapilu Partai Demokrat  Andi Arief  menegaskan bahwa masyarakat tidak perlu terpengaruh oleh kampanye negatif… https://t.co/BlnzwCJ4yk #PolitikPemerintahan #andiarief #Pilpres2024 via @beritajatimcom","0","0","0","0","in","21287066","1734752270594785583","beritajatimcom","https://twitter.com/beritajatimcom/status/1734752270594785583","","Surabaya"
"Wed Apr 17 13:37:59 +0000 2019","1118508909008785408","TOLAK QC. We stand and give a vote for @prabowo  #TheVictoryOfPrabowo  It's real people power of Indonesia","1","2","8","43","en","3320516804","1118508909008785408","BagusWisnuputra","https://twitter.com/BagusWisnuputra/status/1118508909008785408","","Ponorogo, Indonesia"
