"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 12 11:09:58 +0000 2023","1734531031808749585","Bebas  Kate dukung prabowo bebas  Kate dukung Ganjar yo Bebas Kate dukung amin sak karep mu   Tanggal 14 Kate turu ndek omah yo iku yo HAK mu   Penting ojok jotos jotos an wkwkwkwkw","1","2","7","25","in","1512137107795431442","1734531031808749585","Tidakpernahtua","https://twitter.com/Tidakpernahtua/status/1734531031808749585","","Malang, Jawa Timur"
"Tue Dec 12 15:10:01 +0000 2023","1734591441140347156","Anies dukung Prabowo  padahal ada caleg eks koruptor  ini beneran atau settingan? @LJhon86  DebatCapres https://t.co/WsDzChqJUN","0","0","0","0","in","1676821209093378048","1734591441140347156","khaernafeb","https://twitter.com/khaernafeb/status/1734591441140347156","https://pbs.twimg.com/ext_tw_video_thumb/1734591420886134784/pu/img/R0osvqZ-PlqBL03h.jpg","Probolinggo"
"Tue Dec 12 15:24:35 +0000 2023","1734595105712152741","Anies dukung Prabowo yang anti-korupsi  tapi kok calegnya eks koruptor ya? @rudymulyana871  DebatCapres https://t.co/olNLJ56xMd","0","0","0","0","in","1676533752502312963","1734595105712152741","DodiSudra","https://twitter.com/DodiSudra/status/1734595105712152741","https://pbs.twimg.com/ext_tw_video_thumb/1734595086133178368/pu/img/kMeCzf8REaxtPn8R.jpg","Malang"
"Tue Dec 12 15:32:51 +0000 2023","1734597186107953520","Anies dukung Prabowo  tapi kok calegnya yang eks koruptor ya  membingungkan! @COMMUNITYNFTCRO  DebatCapres https://t.co/g6BbyXaXu8","0","0","0","0","in","1676539525634625537","1734597186107953520","BudimanSus","https://twitter.com/BudimanSus/status/1734597186107953520","https://pbs.twimg.com/ext_tw_video_thumb/1734597164746379265/pu/img/3IH_9SiNaPDBroeL.jpg","Pasuruan"
"Fri Dec 08 07:56:28 +0000 2023","1733032783902327269","napas aja dulu deh liat netizen yg masih dukung prabowo @Gilangs93778950 https://t.co/DTfpi7gYXA","0","0","0","0","in","1712837655384522752","1733032783902327269","DeddyIsskandarr","https://twitter.com/DeddyIsskandarr/status/1733032783902327269","https://pbs.twimg.com/ext_tw_video_thumb/1733032753967529984/pu/img/gdH-eDY_nR2zQiIz.jpg","Blitar"
"Fri Dec 08 04:05:01 +0000 2023","1732974536063377663","Abu janda dan @prabowo dukung israel??? Ngeri....","0","0","0","0","in","270303164","1732974536063377663","yp148","https://twitter.com/yp148/status/1732974536063377663","","Malang"
"Fri Dec 08 08:56:38 +0000 2023","1733047923221651548","@Perju4ng4n @prabowo @gibran_tweet @Gerindra Program yang sangat dibutuhkan oleh Pengusaha Milenial nih  dukung pak Prabowo #BangkitkanUMKM","0","0","0","0","in","1697368583989604352","1733043374092140684","cangcimenih","https://twitter.com/cangcimenih/status/1733047923221651548","","malang "
"Sun Dec 10 02:41:27 +0000 2023","1733678281285902557","halo kenapa si tetep mau dukung Prabowo Kasus HAMnya udah sesuai faktanya dan belum clear looh @rubysun_00  Pelangar HAM https://t.co/5TnY99I5sP","0","0","0","0","in","1712838280478441472","1733678281285902557","KeissyaaPutrii","https://twitter.com/KeissyaaPutrii/status/1733678281285902557","https://pbs.twimg.com/media/GA9DNN5bQAAN89z.jpg","Pasuruan"
"Sun Dec 10 02:39:04 +0000 2023","1733677684956496250","kok bisa yaa masih banyak orang yang masih setia dukung prabowo padhal dia banyak problem sih @sulisywww  Pelangar HAM https://t.co/drsHeRfRhb","0","0","0","0","in","1712837655384522752","1733677684956496250","DeddyIsskandarr","https://twitter.com/DeddyIsskandarr/status/1733677684956496250","https://pbs.twimg.com/media/GA9CqfDboAAyl_W.jpg","Blitar"
"Wed Dec 06 05:45:42 +0000 2023","1732275097657135523","Semangat! Ratusan Mantan Kades di Cirebon dukung Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/l4afMDuFPp","0","0","0","0","in","1676075968447008770","1732275097657135523","cyyntia12","https://twitter.com/cyyntia12/status/1732275097657135523","https://pbs.twimg.com/ext_tw_video_thumb/1732274984117313536/pu/img/VTdO3wyVPUhS2yRV.jpg","Batu, Indonesia"
