"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 06 05:37:37 +0000 2023","1732273065952989404","Kesatuan hati mantan Kades dan Lurah Cirebon dukung sepenuhnya Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/JF6B766Uv4","0","0","0","0","in","1706883925501726720","1732273065952989404","alex_batub29083","https://twitter.com/alex_batub29083/status/1732273065952989404","https://pbs.twimg.com/media/GApFKmVaYAAUeGG.jpg","Kediri, Jawa Timur"
"Wed Dec 06 05:45:42 +0000 2023","1732275097657135523","Semangat! Ratusan Mantan Kades di Cirebon dukung Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/l4afMDuFPp","0","0","0","0","in","1676075968447008770","1732275097657135523","cyyntia12","https://twitter.com/cyyntia12/status/1732275097657135523","https://pbs.twimg.com/ext_tw_video_thumb/1732274984117313536/pu/img/VTdO3wyVPUhS2yRV.jpg","Batu, Indonesia"
"Wed Dec 06 05:40:36 +0000 2023","1732273816473399677","Ratusan Mantan Kades Cirebon  pilihan yang tepat  dukung Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/sOkNcaZqj5","0","0","0","0","in","1676616378726612992","1732273816473399677","icha_april8930","https://twitter.com/icha_april8930/status/1732273816473399677","https://pbs.twimg.com/ext_tw_video_thumb/1732273520804339712/pu/img/Kw0WexhgNuRLyC-q.jpg","Malang, Jawa Timur"
"Fri Dec 08 08:56:38 +0000 2023","1733047923221651548","@Perju4ng4n @prabowo @gibran_tweet @Gerindra Program yang sangat dibutuhkan oleh Pengusaha Milenial nih  dukung pak Prabowo #BangkitkanUMKM","0","0","0","0","in","1697368583989604352","1733043374092140684","cangcimenih","https://twitter.com/cangcimenih/status/1733047923221651548","","malang "
"Sun Dec 10 15:01:24 +0000 2023","1733864498531078237","Jokowi maunya dukungin Prabowo-Gibran  tapi wong rata-rata dukung Ganjar-Mahfud. Jelasin dong  kenapa Ganjar lebih oke! @bn_ihsn  https://t.co/ILqevfY4Rg","0","0","0","0","in","1685952518369755137","1733864498531078237","danitaeva07","https://twitter.com/danitaeva07/status/1733864498531078237","","Blitar"
"Mon Dec 11 08:33:19 +0000 2023","1734129221084287311","Gubernur Jawa Timur Khofifah Indar Parawansa memberikan isyarat bakal merapat ke kubu calon presiden dan wakil presiden Prabowo Subianto-Gibran Rakabuming Raka.   #surabaya #khofifah #prabowo #gibran #gerindra #dukung https://t.co/OwJ7CnvxON","0","0","0","1","in","1359364190419341314","1734129221084287311","CelahId","https://twitter.com/CelahId/status/1734129221084287311","","Jombang, Indonesia"
"Sun Dec 10 13:10:36 +0000 2023","1733836613317443685","@rifqahsania setuju sih pokok gak ada keraguan sama sekali buat dukung prabowo-gibran semua visi misinya jelas dan gak neko-neko #WaktunyaIndonesiaMaju","0","0","0","0","in","1566808380219727877","1733831428666781724","JuneedYawnz","https://twitter.com/JuneedYawnz/status/1733836613317443685","","Jombang, Indonesia"
"Wed Dec 06 05:37:54 +0000 2023","1732273137516183982","Cirebon solidaritas! Mantan kades dan lurah dukung Prabowo-Gibran tanpa ragu! 💪👥   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/wBPVuEOuzz","0","0","0","0","in","1667103983582998528","1732273137516183982","mimin198920","https://twitter.com/mimin198920/status/1732273137516183982","https://pbs.twimg.com/ext_tw_video_thumb/1732273030813069312/pu/img/RsP5TD4y3wLjJfH1.jpg","Magetan, Indonesia"
"Wed Dec 06 05:31:36 +0000 2023","1732271552002208209","Para mantan kades dan lurah di Cirebon bersatu  dukung Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/oKWe6YL8Sn","0","0","0","0","in","1675018446738956289","1732271552002208209","dwirahmawaa","https://twitter.com/dwirahmawaa/status/1732271552002208209","https://pbs.twimg.com/media/GApDy2YaMAAhQ9s.jpg","Kota Malang, Jawa Timur"
"Tue Dec 12 00:05:50 +0000 2023","1734363897673769352","@ruhutsitompul Pak jokowi dukung PRABOWO GIBRAN .M3RD3K4 !!!","0","0","0","1","in","1665785714951487488","1734351983535177817","permadiaktifis2","https://twitter.com/permadiaktifis2/status/1734363897673769352","","ngapak"
