"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 06:20:10 +0000 2023","1732646161918668923","@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Awokawok https://t.co/jxhPpohDJM","0","2","3","12","in","1440914340022865921","1732410908637589794","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732646161918668923","https://pbs.twimg.com/ext_tw_video_thumb/1732645831277436928/pu/img/HJSjhPSn7ZMB-YEe.jpg",""
"Thu Dec 07 06:14:17 +0000 2023","1732644681241317794","@TeddGus @prabowo @gibran_tweet Diwarnai dg tangisan  mudah2 an gk  ngompol juga  🤣🤣🤣 https://t.co/pIhE7WxvkY","0","1","7","93","in","1440914340022865921","1732578942476062853","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732644681241317794","https://pbs.twimg.com/ext_tw_video_thumb/1732644652606726144/pu/img/IIMX2B35xJqpkmgP.jpg",""
"Wed Dec 06 14:49:54 +0000 2023","1732412053217058908","Blimbing Sayur Gibran Rakabuming gak berani datang  takut dirujak dibikin sayur asam sulfat😅🤭🤭 https://t.co/2Q3xze4FvP","0","1","1","14","in","1404631725670486020","1732412053217058908","tukangrosok_22","https://twitter.com/tukangrosok_22/status/1732412053217058908","https://pbs.twimg.com/ext_tw_video_thumb/1732411013969108992/pu/img/iOayfxcLl2LvoRrX.jpg","Malang, Jawa Timur"
"Sun Dec 10 02:29:59 +0000 2023","1733675395931894086","@dapitnih @vaniepink Gibran masih kalah survey.. surveynya diulang terus","2","7","35","806","in","37595056","1733667306298044481","mas_mto","https://twitter.com/mas_mto/status/1733675395931894086","","Malang, Jawa Timur"
"Tue Dec 12 04:12:15 +0000 2023","1734425910697484331","@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF","0","1","0","4","in","1135949597380042752","1734420607532707894","momenteeee","https://twitter.com/momenteeee/status/1734425910697484331","https://pbs.twimg.com/ext_tw_video_thumb/1734425889776279552/pu/img/7FaTmxkJI6GAeKmg.jpg","Malang, Jawa Timur"
"Thu Dec 07 12:25:09 +0000 2023","1732738010737963174","@gibran_tweet Mas mau nanya? kok klo di ajak berdebat tentang  penjabaran visi misi kok kesannya sampean ngumpet     sumpah mas aku isin di olok² temen temen di warung kopi","0","20","3","49","in","1630292150192844801","1732735872565657753","EndiBandel2","https://twitter.com/EndiBandel2/status/1732738010737963174","","Malang, Jawa Timur"
"Wed Dec 06 12:23:04 +0000 2023","1732375101000286428","@CNNIndonesia Bawaslu peringatkan gibran  besok ketum bawaslu diganti😉","0","4","4","100","in","181710197","1732370809292009873","afdimu","https://twitter.com/afdimu/status/1732375101000286428","","Jember, Jawa Timur"
"Wed Dec 06 13:57:22 +0000 2023","1732398830971470157","la ndi @gibran_tweet https://t.co/Ccs8AExeJ1","0","0","0","0","tl","995433132760285184","1732398830971470157","omzzaid","https://twitter.com/omzzaid/status/1732398830971470157","https://pbs.twimg.com/media/GAq3jFaawAEu0dG.jpg","Malang"
"Tue Dec 12 12:00:50 +0000 2023","1734543833696989257","ini menunjukkan pengalaman dan keahlian Prabowo dalam memimpin dan mengelola organisasi politik. Selain itu  Gibran juga memiliki latar belakang sebagai pengusaha sukses  yang menunjukkan kemampuannya dalam mengelola ekonomi negara. Dengan","0","0","0","0","in","1684876785287401479","1734543833696989257","jihnmhrni","https://twitter.com/jihnmhrni/status/1734543833696989257","","Madiun"
"Wed Dec 06 05:39:54 +0000 2023","1732273639318532104","Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN","0","0","0","0","in","1715275061719150592","1732273639318532104","uciananda276395","https://twitter.com/uciananda276395/status/1732273639318532104","https://pbs.twimg.com/ext_tw_video_thumb/1732273585144971264/pu/img/4xnWjx-8IrqYK6Dc.jpg","Nganjuk"
"Tue Dec 12 15:36:40 +0000 2023","1734598149136949624","malam ini. Semangat dukungan untuk capres favoritku  Prabowo Gibran! 💪 🇮 🇩","0","0","0","0","in","1676135678403571713","1734598149136949624","tatisuharti01","https://twitter.com/tatisuharti01/status/1734598149136949624","","Madiun"
"Wed Dec 06 15:10:31 +0000 2023","1732417241692660153","Ini beneran ya? Trus klo nunggu arahan pak Jokowi. Gibran ini sebagai ap ya? https://t.co/srLBvj3Bnk","0","0","0","1","in","986277638078529536","1732417241692660153","GosongImam","https://twitter.com/GosongImam/status/1732417241692660153","https://pbs.twimg.com/ext_tw_video_thumb/1732417221815939072/pu/img/V0MDWnHryhPFQ0gV.jpg","Klakah, Indonesia"
"Wed Dec 06 05:32:08 +0000 2023","1732271687436317173","Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL","0","0","0","0","in","1686642771279683584","1732271687436317173","gunawansam98108","https://twitter.com/gunawansam98108/status/1732271687436317173","https://pbs.twimg.com/ext_tw_video_thumb/1732271632776069120/pu/img/ObNG5OPBcGf6ZNdy.jpg","Jember, Jawa Timur"
"Wed Dec 06 14:20:45 +0000 2023","1732404717668782481","GOOOOO !!! https://t.co/vPFSS9ONiW","1","0","1","2","und","1241216144125480970","1732404717668782481","GibranLeander","https://twitter.com/GibranLeander/status/1732404717668782481","https://pbs.twimg.com/media/GAq83p6bkAEaVgW.jpg","Kota Malang, Jawa Timur"
"Wed Dec 06 10:26:22 +0000 2023","1732345730155847930","Wah serius tanpa Gibran debat ini jadi hambar https://t.co/32Zi58GI7j","0","0","0","0","in","1712788774953086977","1732345730155847930","AnandaDwitamiii","https://twitter.com/AnandaDwitamiii/status/1732345730155847930","https://pbs.twimg.com/media/GAqHQd8akAABUYe.jpg","Probolinggo"
"Wed Dec 06 19:21:58 +0000 2023","1732480521190732172","Gibran kurang memiliki pengalaman politik @afifuddin_ala Belimbing Sayur https://t.co/7IoTF6jm3d","0","1","0","0","in","1712682978764349440","1732480521190732172","AndiniResyaa","https://twitter.com/AndiniResyaa/status/1732480521190732172","https://pbs.twimg.com/media/GAsB2mNaoAAN8pU.jpg","Madiun"
"Wed Dec 06 10:33:50 +0000 2023","1732347609006952458","syarat dukung Gibran itu harus absen ya! https://t.co/zYUFrpo8Gd","0","0","0","0","in","1712393339247656960","1732347609006952458","AngkasavS","https://twitter.com/AngkasavS/status/1732347609006952458","https://pbs.twimg.com/media/GAqI9zLaIAA2Adg.jpg","Probolinggo"
"Wed Dec 06 05:44:47 +0000 2023","1732274868182561244","Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et","0","0","0","0","in","1715356680740077569","1732274868182561244","tumizan341","https://twitter.com/tumizan341/status/1732274868182561244","https://pbs.twimg.com/ext_tw_video_thumb/1732274813379706880/pu/img/NNs5J4DD62Irqkuy.jpg","Lumajang, Indonesia"
"Wed Dec 06 05:34:36 +0000 2023","1732272306368676283","Suara bulat ratusan mantan kades Cirebon  menyuarakan harapan baru dengan Prabowo-Gibran https://t.co/6bjdBcUDd9","0","0","0","0","in","1698571147779112960","1732272306368676283","ArdiWinoyo5211","https://twitter.com/ArdiWinoyo5211/status/1732272306368676283","https://pbs.twimg.com/ext_tw_video_thumb/1732272249384890369/pu/img/SyucjudwIQeTV-BN.jpg","Kraksaan, Indonesia"
"Fri Dec 08 04:23:01 +0000 2023","1732979066578612714","Keputusan dan tindakan Ganjar selalu berpijak pada kebutuhan masyarakat  tidak seperti Gibran yang terlalu fokus pada upaya mencari popularitas. @tosx_santos  https://t.co/S0xP58QeD9","0","0","0","0","in","1683667016589377536","1732979066578612714","putraangga_6","https://twitter.com/putraangga_6/status/1732979066578612714","","Batu"
"Wed Dec 06 06:01:34 +0000 2023","1732279094103187680","Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9","0","0","0","0","in","1698587595880755200","1732279094103187680","ArnoldDedi36248","https://twitter.com/ArnoldDedi36248/status/1732279094103187680","https://pbs.twimg.com/ext_tw_video_thumb/1732279024431566848/pu/img/YMH9q-lCtn4RF3m3.jpg","Ponorogo"
"Wed Dec 06 05:42:26 +0000 2023","1732274279293886897","Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL","0","0","0","0","in","1716270615592886272","1732274279293886897","azkadinaaliesha","https://twitter.com/azkadinaaliesha/status/1732274279293886897","https://pbs.twimg.com/ext_tw_video_thumb/1732274222305820672/pu/img/lOMzGd3tyFFrFA6D.jpg","Nganjuk"
"Wed Dec 06 05:34:38 +0000 2023","1732272314799280336","Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj","0","0","0","0","in","1715248674199257088","1732272314799280336","adindaanug70949","https://twitter.com/adindaanug70949/status/1732272314799280336","https://pbs.twimg.com/ext_tw_video_thumb/1732272260604690432/pu/img/FhI7oJn98uoFEbJh.jpg","Pacitan, Indonesia"
"Wed Dec 06 05:47:33 +0000 2023","1732275567016485368","Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ","0","0","0","0","in","1699000360961212416","1732275567016485368","mahendramardhi1","https://twitter.com/mahendramardhi1/status/1732275567016485368","https://pbs.twimg.com/ext_tw_video_thumb/1732275515602718720/pu/img/Ldo_9E92LbRW_M78.jpg","Bangil"
"Wed Dec 06 05:47:07 +0000 2023","1732275456345554997","Bersama Prabowo-Gibran  mantan pemimpin desa optimis pada masa depan yang penuh harapan. https://t.co/3NFwywsfyN","0","0","0","0","in","1715568422514475008","1732275456345554997","HalimahTutik_","https://twitter.com/HalimahTutik_/status/1732275456345554997","https://pbs.twimg.com/ext_tw_video_thumb/1732275403946090496/pu/img/DIGe13JeXlYLTRpy.jpg","Malang, Jawa Timur"
"Wed Dec 06 05:34:46 +0000 2023","1732272348076916765","Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf","0","0","0","0","in","1715277228215570432","1732272348076916765","maharanialya22","https://twitter.com/maharanialya22/status/1732272348076916765","https://pbs.twimg.com/ext_tw_video_thumb/1732272293219610624/pu/img/YfWMamDKud5bCW6r.jpg","Jombang, Indonesia"
"Fri Dec 08 03:09:05 +0000 2023","1732960459668721723","Ganjar selalu memahami kebutuhan rakyatnya  terbukti dengan solusi konkretnya terhadap masalah stunting. Sedangkan Gibran  sebanyak apapun blunder yang dia lakukan  tetap tidak ada kontribusi positif untuk masyarakat. @jtapart https://t.co/FQY55hcJ0g","0","0","0","0","in","1679706648951279617","1732960459668721723","AsrafTubag","https://twitter.com/AsrafTubag/status/1732960459668721723","","Kediri"
"Sat Dec 09 15:20:09 +0000 2023","1733506829743997298","Dukungan masyarakat DKI terhadap Prabowo dan Gibran adalah bukti solidaritas untuk membangun Jakarta yang lebih baik. @putrosapto  https://t.co/gVhFUJdaXm","0","0","0","0","in","1675689531797012480","1733506829743997298","SumarjoHarto","https://twitter.com/SumarjoHarto/status/1733506829743997298","","Pasuruan"
"Fri Dec 08 03:41:19 +0000 2023","1732968573369524637","Ganjar selalu ada di tengah-tengah masyarakat  bukan hanya muncul saat kampanye seperti Gibran. @Okkynovo  https://t.co/iuTB9lhk3v","0","0","0","0","in","1682292187076386816","1732968573369524637","rahmanandi40708","https://twitter.com/rahmanandi40708/status/1732968573369524637","","Malang"
