"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 10 10:44:24 +0000 2023","1733799822883483804","Prabowo kartu mati ❌ https://t.co/ogM3R0nfPs","5","22","91","270","in","99743594","1733799822883483804","ike_hw71","https://twitter.com/ike_hw71/status/1733799822883483804","https://pbs.twimg.com/media/GA-xveoaoAATrq2.jpg","Malang, Jawa Timur"
"Thu Dec 07 06:20:10 +0000 2023","1732646161918668923","@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Awokawok https://t.co/jxhPpohDJM","0","2","3","12","in","1440914340022865921","1732410908637589794","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732646161918668923","https://pbs.twimg.com/ext_tw_video_thumb/1732645831277436928/pu/img/HJSjhPSn7ZMB-YEe.jpg",""
"Thu Dec 07 06:14:17 +0000 2023","1732644681241317794","@TeddGus @prabowo @gibran_tweet Diwarnai dg tangisan  mudah2 an gk  ngompol juga  🤣🤣🤣 https://t.co/pIhE7WxvkY","0","1","7","93","in","1440914340022865921","1732578942476062853","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732644681241317794","https://pbs.twimg.com/ext_tw_video_thumb/1732644652606726144/pu/img/IIMX2B35xJqpkmgP.jpg",""
"Tue Dec 12 18:18:40 +0000 2023","1734638918937510072","@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Pertanyaan yg sama utk loe.... 🤣🤣😂😂 https://t.co/rz58zrFZH3","0","0","3","66","in","85778378","1734597492195701066","matinyanurani","https://twitter.com/matinyanurani/status/1734638918937510072","https://pbs.twimg.com/media/GBKs53rb0AAw94d.jpg","Malang, Jawa Timur"
"Mon Dec 11 13:03:14 +0000 2023","1734197147091005625","Yang penting banteng dan ganjar nyungsep duluan di putaran pertama... Di putaran kedua prabowo akan kami tumbangkan... #AniesPresiden2024  #AniesCerdas #AniesTerpelajar","2","16","23","166","in","1152707809689010176","1734197147091005625","mbahjhojho","https://twitter.com/mbahjhojho/status/1734197147091005625","","Kertanegara"
"Tue Dec 12 14:22:14 +0000 2023","1734579418167906350","Coba pikirkan lagi apakah prabowo layak menjadi pemimpin bangsa ini? @loversallstd Gemoy Penculik TangkapPRABOWO https://t.co/E5AENhRePP","0","0","0","0","in","1712838280478441472","1734579418167906350","KeissyaaPutrii","https://twitter.com/KeissyaaPutrii/status/1734579418167906350","https://pbs.twimg.com/ext_tw_video_thumb/1734579393388019712/pu/img/epLx8Oha5CJxO-8n.jpg","Pasuruan"
"Tue Dec 12 13:19:00 +0000 2023","1734563503372181879","@kikysaputrii Pak prabowo lebih obyektif ketika menjawab masalah  kalau Anies terlalu enteng ngasih solusi  Teori sama praktek jelas beda.","4","16","14","168","in","1266729019","1734561008528883998","Jalanbercahaya","https://twitter.com/Jalanbercahaya/status/1734563503372181879","","Malang"
"Thu Dec 07 11:02:10 +0000 2023","1732717130326626720","Pilih Anies  Prabowo apa Ganjar ?  milih yang udah selesai sama masa lalunya","0","6","2","0","in","1238786114573316096","1732717130326626720","pandukurniatama","https://twitter.com/pandukurniatama/status/1732717130326626720","","Malang"
"Sat Dec 09 16:27:16 +0000 2023","1733523719807738246","@Leonita_Lestari Jokowi rela merendahkan diri demi menaikkan derajat prabowo  ada yg salah dengan jokowi  tadinya sudah kasih clue mengarah no 3 kok tiba2 berubah ya  sungguh membagongkan  pasti ada sesuatu  prestasi 9 tahun ditutup dengan ending yang nggak jelas.","0","31","3","50","in","738261162","1733474218975907971","herygunarto","https://twitter.com/herygunarto/status/1733523719807738246","","Jombang"
"Tue Dec 12 14:03:41 +0000 2023","1734574749320450403","Pak Prabowo nembak Pak Anies  di bales rudal sama Pak Anies 🤣  "Kekuasaan itu bukan sekedar bisnis"  #AMINTerbaikNomor1 #aminungguldebatcapres","0","5","34","128","in","1417525464248184832","1734574749320450403","naaooollll","https://twitter.com/naaooollll/status/1734574749320450403","","Kota Malang, Jawa Timur"
"Wed Dec 06 02:34:14 +0000 2023","1732226915732205942","Amazing saat Pak Prabowo gabung dalam kabinet Pak Jokowi.  Dua sosok luar biasa yang sanggup mengesampingkan ego demi NKRI.  #PrabowoGibranIstimewa","0","1","2","4","in","1286961182016847872","1732226915732205942","Esteht4war","https://twitter.com/Esteht4war/status/1732226915732205942","","malang"
"Tue Dec 12 18:53:59 +0000 2023","1734647806307057933","#prabowo https://t.co/c9PwLdek9U","0","0","0","1","qme","39986851","1734647806307057933","xenvxx","https://twitter.com/xenvxx/status/1734647806307057933","https://pbs.twimg.com/media/GBK0-6ZbYAE7CpL.jpg","𝕏"
"Tue Dec 12 14:36:24 +0000 2023","1734582983565410639","Wkwk Prabowo di tanya HAM malah kemana mana","0","2","0","0","in","1238786114573316096","1734582983565410639","pandukurniatama","https://twitter.com/pandukurniatama/status/1734582983565410639","","Malang"
"Tue Dec 12 14:57:05 +0000 2023","1734588186679185712","@Yurissa_Samosir @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @mustafaagus007 @choymarkochoy Pendukung Prabowo malam ini akan banyak yang pindah dukungan ke no 1","0","23","12","331","in","1582680405169549314","1734586052667728254","KomKompos063","https://twitter.com/KomKompos063/status/1734588186679185712","","Jember, Jawa Timur"
"Mon Dec 11 13:05:50 +0000 2023","1734197800592912581","Prabowo  sering ngomong  tapi gak pernah buktiin peduli rakyat! https://t.co/tw2r6Z7JFD","0","0","0","0","in","1712481706362683392","1734197800592912581","nasyasafiraa","https://twitter.com/nasyasafiraa/status/1734197800592912581","https://pbs.twimg.com/ext_tw_video_thumb/1734197786521018368/pu/img/SCP8pNXXT6gYUDJV.jpg","Batu, Malang"
